# step res_l2 res_l2_check diff
122 3.975711e-04 3.975711e-04 0.000000e+00
123 3.929520e-04 3.929520e-04 0.000000e+00
124 3.884735e-04 3.884735e-04 0.000000e+00
125 3.437347e-04 3.437347e-04 0.000000e+00
126 3.393291e-04 3.393291e-04 0.000000e+00
127 3.352673e-04 3.352673e-04 0.000000e+00
128 3.313642e-04 3.313642e-04 0.000000e+00
129 3.275754e-04 3.275754e-04 0.000000e+00
130 2.898513e-04 2.898513e-04 0.000000e+00
131 2.861553e-04 2.861553e-04 0.000000e+00
132 2.827322e-04 2.827322e-04 0.000000e+00
133 2.794370e-04 2.794370e-04 0.000000e+00
134 2.762349e-04 2.762349e-04 0.000000e+00
135 2.444105e-04 2.444105e-04 0.000000e+00
136 2.413101e-04 2.413101e-04 0.000000e+00
137 2.384271e-04 2.384271e-04 0.000000e+00
138 2.356473e-04 2.356473e-04 0.000000e+00
139 2.329434e-04 2.329434e-04 0.000000e+00
140 2.060899e-04 2.060899e-04 0.000000e+00
141 2.034893e-04 2.034893e-04 0.000000e+00
142 2.010624e-04 2.010624e-04 0.000000e+00
143 1.987191e-04 1.987191e-04 0.000000e+00
144 1.964377e-04 1.964377e-04 0.000000e+00
145 1.737770e-04 1.737770e-04 0.000000e+00
146 1.715958e-04 1.715958e-04 0.000000e+00
147 1.695537e-04 1.695537e-04 0.000000e+00
148 1.675795e-04 1.675795e-04 0.000000e+00
149 1.656560e-04 1.656560e-04 0.000000e+00
150 1.465339e-04 1.465339e-04 0.000000e+00
151 1.447044e-04 1.447044e-04 0.000000e+00
152 1.429868e-04 1.429868e-04 0.000000e+00
153 1.413244e-04 1.413244e-04 0.000000e+00
154 1.397035e-04 1.397035e-04 0.000000e+00
155 1.235687e-04 1.235687e-04 0.000000e+00
156 1.220342e-04 1.220342e-04 0.000000e+00
157 1.205898e-04 1.205898e-04 0.000000e+00
158 1.191905e-04 1.191905e-04 0.000000e+00
159 1.178253e-04 1.178253e-04 0.000000e+00
160 1.042127e-04 1.042127e-04 0.000000e+00
161 1.029255e-04 1.029255e-04 0.000000e+00
162 1.017111e-04 1.017111e-04 0.000000e+00
163 1.005337e-04 1.005337e-04 0.000000e+00
164 9.938431e-05 9.938431e-05 0.000000e+00
165 8.790115e-05 8.790115e-05 0.000000e+00
166 8.682119e-05 8.682119e-05 0.000000e+00
167 8.580041e-05 8.580041e-05 0.000000e+00
168 8.480986e-05 8.480986e-05 0.000000e+00
169 8.384247e-05 8.384247e-05 0.000000e+00
170 7.415706e-05 7.415706e-05 0.000000e+00
171 7.325092e-05 7.325092e-05 0.000000e+00
172 7.239293e-05 7.239293e-05 0.000000e+00
173 7.155977e-05 7.155977e-05 0.000000e+00
174 7.074574e-05 7.074574e-05 0.000000e+00
175 6.257799e-05 6.257799e-05 0.000000e+00
176 6.181761e-05 6.181761e-05 0.000000e+00
177 6.109649e-05 6.109649e-05 0.000000e+00
178 6.039583e-05 6.039583e-05 0.000000e+00
179 5.971098e-05 5.971098e-05 0.000000e+00
180 5.282444e-05 5.282444e-05 0.000000e+00
181 5.218631e-05 5.218631e-05 0.000000e+00
182 5.158028e-05 5.158028e-05 0.000000e+00
183 5.099111e-05 5.099111e-05 0.000000e+00
184 5.041504e-05 5.041504e-05 0.000000e+00
185 4.461019e-05 4.461019e-05 0.000000e+00
186 4.407462e-05 4.407462e-05 0.000000e+00
187 4.356534e-05 4.356534e-05 0.000000e+00
188 4.307000e-05 4.307000e-05 0.000000e+00
189 4.258553e-05 4.258553e-05 0.000000e+00
190 3.769405e-05 3.769405e-05 0.000000e+00
191 3.724455e-05 3.724455e-05 0.000000e+00
192 3.681663e-05 3.681663e-05 0.000000e+00
193 3.640025e-05 3.640025e-05 0.000000e+00
194 3.599289e-05 3.599289e-05 0.000000e+00
195 3.187286e-05 3.187286e-05 0.000000e+00
196 3.149564e-05 3.149564e-05 0.000000e+00
197 3.113616e-05 3.113616e-05 0.000000e+00
198 3.078624e-05 3.078624e-05 0.000000e+00
199 3.044382e-05 3.044382e-05 0.000000e+00
200 2.697562e-05 2.697562e-05 0.000000e+00
201 2.665912e-05 2.665912e-05 0.000000e+00
202 2.635723e-05 2.635723e-05 0.000000e+00
203 2.606327e-05 2.606327e-05 0.000000e+00
204 2.577555e-05 2.577555e-05 0.000000e+00
205 2.285842e-05 2.285842e-05 0.000000e+00
206 2.259297e-05 2.259297e-05 0.000000e+00
207 2.233956e-05 2.233956e-05 0.000000e+00
208 2.209274e-05 2.209274e-05 0.000000e+00
209 2.185112e-05 2.185112e-05 0.000000e+00
210 1.940020e-05 1.940020e-05 0.000000e+00
211 1.917770e-05 1.917770e-05 0.000000e+00
212 1.896514e-05 1.896514e-05 0.000000e+00
213 1.875806e-05 1.875806e-05 0.000000e+00
214 1.855530e-05 1.855530e-05 0.000000e+00
215 1.649913e-05 1.649913e-05 0.000000e+00
216 1.631282e-05 1.631282e-05 0.000000e+00
217 1.613470e-05 1.613470e-05 0.000000e+00
218 1.596113e-05 1.596113e-05 0.000000e+00
219 1.579117e-05 1.579117e-05 0.000000e+00
220 1.406960e-05 1.406960e-05 0.000000e+00
221 1.391378e-05 1.391378e-05 0.000000e+00
222 1.376473e-05 1.376473e-05 0.000000e+00
223 1.361946e-05 1.361946e-05 0.000000e+00
224 1.347721e-05 1.347721e-05 0.000000e+00
225 1.203956e-05 1.203956e-05 0.000000e+00
226 1.190948e-05 1.190948e-05 0.000000e+00
227 1.178498e-05 1.178498e-05 0.000000e+00
228 1.166362e-05 1.166362e-05 0.000000e+00
229 1.154478e-05 1.154478e-05 0.000000e+00
230 1.034832e-05 1.034832e-05 0.000000e+00
231 1.023998e-05 1.023998e-05 0.000000e+00
232 1.013623e-05 1.013623e-05 0.000000e+00
233 1.003509e-05 1.003509e-05 0.000000e+00
234 9.936047e-06 9.936047e-06 0.000000e+00
235 8.944633e-06 8.944633e-06 0.000000e+00
236 8.854667e-06 8.854667e-06 0.000000e+00
237 8.768466e-06 8.768466e-06 0.000000e+00
238 8.684429e-06 8.684429e-06 0.000000e+00
239 8.602132e-06 8.602132e-06 0.000000e+00
240 7.785053e-06 7.785053e-06 0.000000e+00
241 7.710604e-06 7.710604e-06 0.000000e+00
242 7.639233e-06 7.639233e-06 0.000000e+00
243 7.569651e-06 7.569651e-06 0.000000e+00
244 7.501510e-06 7.501510e-06 0.000000e+00
245 6.832487e-06 6.832487e-06 0.000000e+00
246 6.771121e-06 6.771121e-06 0.000000e+00
247 6.712260e-06 6.712260e-06 0.000000e+00
248 6.654870e-06 6.654870e-06 0.000000e+00
249 6.598671e-06 6.598671e-06 0.000000e+00
250 6.055004e-06 6.055004e-06 0.000000e+00
251 6.004631e-06 6.004631e-06 0.000000e+00
252 5.956281e-06 5.956281e-06 0.000000e+00
253 5.909134e-06 5.909134e-06 0.000000e+00
254 5.862966e-06 5.862966e-06 0.000000e+00
255 5.424851e-06 5.424851e-06 0.000000e+00
256 5.383657e-06 5.383657e-06 0.000000e+00
257 5.344085e-06 5.344085e-06 0.000000e+00
258 5.305489e-06 5.305489e-06 0.000000e+00
259 5.267691e-06 5.267691e-06 0.000000e+00
260 4.917707e-06 4.917707e-06 0.000000e+00
261 4.884112e-06 4.884112e-06 0.000000e+00
262 4.851806e-06 4.851806e-06 0.000000e+00
263 4.820284e-06 4.820284e-06 0.000000e+00
264 4.789407e-06 4.789407e-06 0.000000e+00
265 4.512184e-06 4.512184e-06 0.000000e+00
266 4.484811e-06 4.484811e-06 0.000000e+00
267 4.458452e-06 4.458452e-06 0.000000e+00
268 4.432717e-06 4.432717e-06 0.000000e+00
269 4.407498e-06 4.407498e-06 0.000000e+00
270 4.189530e-06 4.189530e-06 0.000000e+00
271 4.167188e-06 4.167188e-06 0.000000e+00
272 4.145636e-06 4.145636e-06 0.000000e+00
273 4.124575e-06 4.124575e-06 0.000000e+00
274 4.103923e-06 4.103923e-06 0.000000e+00
275 3.933492e-06 3.933492e-06 0.000000e+00
276 3.915164e-06 3.915164e-06 0.000000e+00
277 3.897445e-06 3.897445e-06 0.000000e+00
278 3.880110e-06 3.880110e-06 0.000000e+00
279 3.863095e-06 3.863095e-06 0.000000e+00
280 3.730220e-06 3.730220e-06 0.000000e+00
281 3.715055e-06 3.715055e-06 0.000000e+00
282 3.700355e-06 3.700355e-06 0.000000e+00
283 3.685953e-06 3.685953e-06 0.000000e+00
284 3.671800e-06 3.671800e-06 0.000000e+00
285 3.568166e-06 3.568166e-06 0.000000e+00
286 3.555465e-06 3.555465e-06 0.000000e+00
287 3.543118e-06 3.543118e-06 0.000000e+00
288 3.531000e-06 3.531000e-06 0.000000e+00
289 3.519075e-06 3.519075e-06 0.000000e+00
290 3.437918e-06 3.437918e-06 0.000000e+00
291 3.427120e-06 3.427120e-06 0.000000e+00
292 3.416591e-06 3.416591e-06 0.000000e+00
293 3.406237e-06 3.406237e-06 0.000000e+00
294 3.396033e-06 3.396033e-06 0.000000e+00
295 3.331967e-06 3.331967e-06 0.000000e+00
296 3.322632e-06 3.322632e-06 0.000000e+00
297 3.313499e-06 3.313499e-06 0.000000e+00
298 3.304502e-06 3.304502e-06 0.000000e+00
299 3.295620e-06 3.295620e-06 0.000000e+00
300 3.244443e-06 3.244443e-06 0.000000e+00
301 3.236228e-06 3.236228e-06 0.000000e+00
302 3.228167e-06 3.228167e-06 0.000000e+00
303 3.220210e-06 3.220210e-06 0.000000e+00
304 3.212343e-06 3.212343e-06 0.000000e+00
305 3.170829e-06 3.170829e-06 0.000000e+00
306 3.163473e-06 3.163473e-06 0.000000e+00
307 3.156235e-06 3.156235e-06 0.000000e+00
308 3.149078e-06 3.149078e-06 0.000000e+00
309 3.141990e-06 3.141990e-06 0.000000e+00
310 3.107694e-06 3.107694e-06 0.000000e+00
311 3.101001e-06 3.101001e-06 0.000000e+00
312 3.094398e-06 3.094398e-06 0.000000e+00
313 3.087858e-06 3.087858e-06 0.000000e+00
