# step err_l2 res_l2
0 2.460291e-01 1.000000e+00
1 2.160947e-01 1.448404e+00
2 1.911280e-01 1.089704e+00
3 1.703529e-01 6.958117e-01
4 1.554192e-01 5.858736e-01
5 1.437690e-01 4.166160e-01
6 1.340641e-01 2.742037e-01
7 1.261797e-01 2.228323e-01
8 1.192291e-01 1.635293e-01
9 1.130731e-01 1.183274e-01
10 1.076136e-01 9.956352e-02
11 1.025831e-01 8.114897e-02
12 9.796005e-02 6.761376e-02
13 9.369021e-02 6.044828e-02
14 8.968043e-02 5.414354e-02
15 8.591423e-02 4.915810e-02
16 8.236345e-02 4.566748e-02
17 7.899197e-02 4.265465e-02
18 7.578821e-02 4.003295e-02
19 7.273743e-02 3.785653e-02
20 6.982364e-02 3.591551e-02
21 6.703886e-02 3.414640e-02
22 6.437460e-02 3.255734e-02
23 6.182239e-02 3.109471e-02
24 5.937652e-02 2.972904e-02
25 5.703141e-02 2.845788e-02
26 5.478164e-02 2.726338e-02
27 5.262287e-02 2.613280e-02
28 5.055093e-02 2.506261e-02
29 4.856184e-02 2.404551e-02
30 4.665207e-02 2.307564e-02
31 4.481825e-02 2.215027e-02
32 4.305717e-02 2.126581e-02
33 4.136586e-02 2.041920e-02
34 3.974145e-02 1.960846e-02
35 3.818123e-02 1.883146e-02
36 3.668263e-02 1.808632e-02
37 3.524316e-02 1.737154e-02
38 3.386047e-02 1.668564e-02
39 3.253230e-02 1.602727e-02
40 3.125648e-02 1.539523e-02
41 3.003094e-02 1.478838e-02
42 2.885369e-02 1.420564e-02
43 2.772282e-02 1.364600e-02
44 2.663650e-02 1.310851e-02
45 2.559297e-02 1.259228e-02
46 2.459054e-02 1.209643e-02
47 2.362759e-02 1.162015e-02
48 2.270256e-02 1.116266e-02
49 2.181397e-02 1.072320e-02
50 2.096037e-02 1.030107e-02
51 2.014040e-02 9.895561e-03
52 1.935271e-02 9.506028e-03
53 1.859605e-02 9.131837e-03
54 1.786919e-02 8.772380e-03
55 1.717096e-02 8.427078e-03
56 1.650023e-02 8.095370e-03
57 1.585592e-02 7.776722e-03
58 1.523699e-02 7.470617e-03
59 1.464244e-02 7.176564e-03
60 1.407132e-02 6.894085e-03
61 1.352269e-02 6.622726e-03
62 1.299568e-02 6.362049e-03
63 1.248944e-02 6.111632e-03
64 1.200315e-02 5.871073e-03
65 1.153602e-02 5.639982e-03
66 1.108730e-02 5.417988e-03
67 1.065628e-02 5.204731e-03
68 1.024224e-02 4.999869e-03
69 9.844526e-03 4.803070e-03
70 9.462496e-03 4.614018e-03
71 9.095533e-03 4.432407e-03
72 8.743045e-03 4.257944e-03
73 8.404463e-03 4.090348e-03
74 8.079241e-03 3.929349e-03
75 7.766854e-03 3.774687e-03
76 7.466798e-03 3.626113e-03
77 7.178590e-03 3.483387e-03
78 6.901765e-03 3.346278e-03
79 6.635876e-03 3.214566e-03
80 6.380493e-03 3.088039e-03
81 6.135206e-03 2.966491e-03
82 5.899618e-03 2.849728e-03
83 5.673349e-03 2.737561e-03
84 5.456034e-03 2.629809e-03
85 5.247323e-03 2.526298e-03
86 5.046878e-03 2.426861e-03
87 4.854377e-03 2.331338e-03
88 4.669508e-03 2.239575e-03
89 4.491973e-03 2.151424e-03
90 4.321486e-03 2.066742e-03
91 4.157772e-03 1.985394e-03
92 4.000565e-03 1.907248e-03
93 3.849613e-03 1.832177e-03
94 3.704671e-03 1.760061e-03
