# level nx ny res_l2_norm
1 64 64 1.701741e-01
2 32 32 4.397180e-02
3 16 16 1.110192e-02
4 8 8 2.389770e-03
1 64 64 6.382685e-02
2 32 32 1.877202e-02
3 16 16 5.118583e-03
4 8 8 1.098529e-03
1 64 64 3.672448e-02
2 32 32 1.137501e-02
3 16 16 3.176569e-03
4 8 8 6.921286e-04
1 64 64 2.476470e-02
2 32 32 7.900974e-03
3 16 16 2.273857e-03
4 8 8 5.180870e-04
1 64 64 1.789068e-02
2 32 32 5.800297e-03
3 16 16 1.706634e-03
4 8 8 4.000847e-04
1 64 64 1.344732e-02
2 32 32 4.406981e-03
3 16 16 1.319781e-03
4 8 8 3.156295e-04
1 64 64 1.039428e-02
2 32 32 3.433473e-03
3 16 16 1.042716e-03
4 8 8 2.528002e-04
1 64 64 8.216272e-03
2 32 32 2.730673e-03
3 16 16 8.385825e-04
4 8 8 2.052724e-04
1 64 64 6.615106e-03
2 32 32 2.209078e-03
3 16 16 6.844068e-04
4 8 8 1.686761e-04
1 64 64 5.406318e-03
2 32 32 1.812168e-03
3 16 16 5.653109e-04
4 8 8 1.399991e-04
1 64 64 4.471640e-03
2 32 32 1.503211e-03
3 16 16 4.714185e-04
4 8 8 1.171459e-04
1 64 64 3.733525e-03
2 32 32 1.257872e-03
3 16 16 3.960695e-04
4 8 8 9.865556e-05
1 64 64 3.140077e-03
2 32 32 1.059724e-03
3 16 16 3.346917e-04
4 8 8 8.349988e-05
1 64 64 2.655802e-03
2 32 32 8.974412e-04
3 16 16 2.840804e-04
4 8 8 7.094419e-05
1 64 64 2.255844e-03
2 32 32 7.630282e-04
3 16 16 2.419379e-04
4 8 8 6.045324e-05
1 64 64 1.922361e-03
2 32 32 6.507038e-04
3 16 16 2.065762e-04
4 8 8 5.162852e-05
1 64 64 1.642222e-03
2 32 32 5.561827e-04
3 16 16 1.767263e-04
4 8 8 4.416670e-05
1 64 64 1.405526e-03
2 32 32 4.762130e-04
3 16 16 1.514123e-04
4 8 8 3.783205e-05
1 64 64 1.204640e-03
2 32 32 4.082731e-04
3 16 16 1.298686e-04
4 8 8 3.243783e-05
1 64 64 1.033561e-03
2 32 32 3.503693e-04
3 16 16 1.114836e-04
4 8 8 2.783368e-05
1 64 64 8.874856e-04
2 32 32 3.008992e-04
3 16 16 9.576169e-05
4 8 8 2.389685e-05
1 64 64 7.625094e-04
2 32 32 2.585562e-04
3 16 16 8.229590e-05
4 8 8 2.052601e-05
1 64 64 6.554233e-04
2 32 32 2.222629e-04
3 16 16 7.074867e-05
4 8 8 1.763677e-05
1 64 64 5.635616e-04
2 32 32 1.911221e-04
3 16 16 6.083769e-05
4 8 8 1.515831e-05
1 64 64 4.846921e-04
2 32 32 1.643809e-04
3 16 16 5.232529e-05
4 8 8 1.303090e-05
1 64 64 4.169336e-04
2 32 32 1.414042e-04
3 16 16 4.501039e-05
4 8 8 1.120393e-05
1 64 64 3.586930e-04
2 32 32 1.216533e-04
3 16 16 3.872211e-05
4 8 8 9.634375e-06
1 64 64 3.086155e-04
2 32 32 1.046698e-04
3 16 16 3.331483e-05
4 8 8 8.285571e-06
1 64 64 2.655458e-04
2 32 32 9.006232e-05
3 16 16 2.866415e-05
4 8 8 7.126197e-06
1 64 64 2.284963e-04
2 32 32 7.749640e-05
3 16 16 2.466360e-05
4 8 8 6.129466e-06
1 64 64 1.966212e-04
2 32 32 6.668533e-05
3 16 16 2.122189e-05
4 8 8 5.272434e-06
1 64 64 1.691952e-04
2 32 32 5.738325e-05
3 16 16 1.826075e-05
4 8 8 4.535437e-06
1 64 64 1.455959e-04
2 32 32 4.937906e-05
3 16 16 1.571292e-05
4 8 8 3.901601e-06
1 64 64 1.252884e-04
2 32 32 4.249141e-05
3 16 16 1.352063e-05
4 8 8 3.356446e-06
1 64 64 1.078132e-04
2 32 32 3.656440e-05
3 16 16 1.163422e-05
4 8 8 2.887535e-06
1 64 64 9.277495e-05
2 32 32 3.146400e-05
3 16 16 1.001099e-05
4 8 8 2.484184e-06
1 64 64 7.983382e-05
2 32 32 2.707490e-05
3 16 16 8.614213e-06
4 8 8 2.137213e-06
1 64 64 6.869736e-05
2 32 32 2.329790e-05
3 16 16 7.412292e-06
4 8 8 1.838730e-06
1 64 64 5.911394e-05
2 32 32 2.004766e-05
3 16 16 6.378045e-06
4 8 8 1.581953e-06
1 64 64 5.086703e-05
2 32 32 1.725073e-05
3 16 16 5.488083e-06
4 8 8 1.361049e-06
1 64 64 4.377032e-05
2 32 32 1.484390e-05
3 16 16 4.722280e-06
4 8 8 1.171002e-06
1 64 64 3.766343e-05
2 32 32 1.277279e-05
3 16 16 4.063319e-06
4 8 8 1.007500e-06
1 64 64 3.240837e-05
2 32 32 1.099058e-05
3 16 16 3.496296e-06
4 8 8 8.668320e-07
1 64 64 2.788637e-05
2 32 32 9.456995e-06
3 16 16 3.008387e-06
4 8 8 7.458087e-07
1 64 64 2.399519e-05
2 32 32 8.137353e-06
3 16 16 2.588556e-06
4 8 8 6.416852e-07
1 64 64 2.064688e-05
2 32 32 7.001820e-06
3 16 16 2.227306e-06
4 8 8 5.521008e-07
1 64 64 1.776571e-05
2 32 32 6.024719e-06
3 16 16 1.916465e-06
4 8 8 4.750249e-07
1 64 64 1.528655e-05
2 32 32 5.183950e-06
3 16 16 1.649000e-06
4 8 8 4.087105e-07
1 64 64 1.315331e-05
2 32 32 4.460497e-06
3 16 16 1.418859e-06
4 8 8 3.516547e-07
1 64 64 1.131774e-05
2 32 32 3.837994e-06
3 16 16 1.220835e-06
4 8 8 3.025646e-07
1 64 64 9.738314e-06
2 32 32 3.302356e-06
3 16 16 1.050446e-06
4 8 8 2.603279e-07
1 64 64 8.379301e-06
2 32 32 2.841466e-06
3 16 16 9.038361e-07
4 8 8 2.239877e-07
1 64 64 7.209950e-06
2 32 32 2.444894e-06
3 16 16 7.776872e-07
4 8 8 1.927206e-07
1 64 64 6.203798e-06
2 32 32 2.103665e-06
3 16 16 6.691439e-07
4 8 8 1.658185e-07
1 64 64 5.338077e-06
2 32 32 1.810058e-06
3 16 16 5.757495e-07
4 8 8 1.426719e-07
1 64 64 4.593193e-06
2 32 32 1.557427e-06
3 16 16 4.953899e-07
4 8 8 1.227564e-07
1 64 64 3.952286e-06
2 32 32 1.340054e-06
3 16 16 4.262459e-07
4 8 8 1.056211e-07
1 64 64 3.400849e-06
2 32 32 1.153018e-06
3 16 16 3.667524e-07
4 8 8 9.087771e-08
1 64 64 2.926400e-06
2 32 32 9.920867e-07
3 16 16 3.155625e-07
4 8 8 7.819239e-08
1 64 64 2.518198e-06
2 32 32 8.536163e-07
3 16 16 2.715173e-07
4 8 8 6.727782e-08
1 64 64 2.167002e-06
2 32 32 7.344723e-07
3 16 16 2.336197e-07
4 8 8 5.788681e-08
1 64 64 1.864861e-06
2 32 32 6.319574e-07
3 16 16 2.010116e-07
4 8 8 4.980668e-08
1 64 64 1.604933e-06
2 32 32 5.437508e-07
3 16 16 1.729548e-07
4 8 8 4.285443e-08
1 64 64 1.381333e-06
2 32 32 4.678555e-07
3 16 16 1.488140e-07
4 8 8 3.687263e-08
1 64 64 1.188998e-06
2 32 32 4.025533e-07
3 16 16 1.280427e-07
4 8 8 3.172581e-08
1 64 64 1.023570e-06
2 32 32 3.463657e-07
3 16 16 1.101707e-07
4 8 8 2.729741e-08
1 64 64 8.813045e-07
2 32 32 2.980205e-07
3 16 16 9.479314e-08
4 8 8 2.348715e-08
1 64 64 7.589772e-07
2 32 32 2.564232e-07
3 16 16 8.156197e-08
4 8 8 2.020874e-08
1 64 64 6.538165e-07
2 32 32 2.206319e-07
3 16 16 7.017759e-08
4 8 8 1.738795e-08
1 64 64 5.634388e-07
2 32 32 1.898363e-07
3 16 16 6.038223e-08
4 8 8 1.496090e-08
1 64 64 4.857947e-07
2 32 32 1.633390e-07
3 16 16 5.195409e-08
4 8 8 1.287262e-08
1 64 64 4.191227e-07
2 32 32 1.405403e-07
3 16 16 4.470234e-08
4 8 8 1.107583e-08
1 64 64 3.619087e-07
2 32 32 1.209237e-07
3 16 16 3.846279e-08
4 8 8 9.529847e-09
1 64 64 3.128518e-07
2 32 32 1.040452e-07
3 16 16 3.309415e-08
4 8 8 8.199653e-09
1 64 64 2.708344e-07
2 32 32 8.952259e-08
3 16 16 2.847487e-08
