# step err_l2 res_l2
0 2.449623e-01 1.000000e+00
1 2.933011e-01 9.851729e-01
2 4.150001e-01 1.849733e+00
3 9.036756e-01 6.097604e+00
4 3.890656e+00 3.207328e+01
5 2.403699e+01 2.136704e+02
6 1.806127e+02 1.678387e+03
7 1.503948e+03 1.427466e+04
8 1.302928e+04 1.247470e+05
9 1.143544e+05 1.098779e+06
10 1.007794e+06 9.698343e+06
11 8.893435e+06 8.564495e+07
12 7.851758e+07 7.563910e+08
13 6.933282e+08 6.680229e+09
14 6.122676e+09 5.899711e+10
15 5.407010e+10 5.210336e+11
16 4.775066e+11 4.601483e+12
17 4.217011e+12 4.063763e+13
18 3.724189e+13 3.588872e+14
19 3.288967e+14 3.169474e+15
20 2.904609e+15 2.799085e+16
21 2.565170e+16 2.471980e+17
22 2.265399e+17 2.183100e+18
23 2.000660e+18 1.927980e+19
24 1.766859e+19 1.702673e+20
25 1.560381e+20 1.503695e+21
26 1.378032e+21 1.327971e+22
27 1.216993e+22 1.172782e+23
28 1.074773e+23 1.035728e+24
29 9.491730e+23 9.146914e+24
30 8.382509e+24 8.077989e+25
31 7.402914e+25 7.133981e+26
32 6.537797e+26 6.300291e+27
33 5.773778e+27 5.564028e+28
34 5.099044e+28 4.913806e+29
35 4.503161e+29 4.339570e+30
36 3.976913e+30 3.832440e+31
37 3.512164e+31 3.384574e+32
38 3.101727e+32 2.989047e+33
39 2.739253e+33 2.639742e+34
40 2.419139e+34 2.331257e+35
41 2.136434e+35 2.058822e+36
42 1.886767e+36 1.818224e+37
43 1.666276e+37 1.605743e+38
44 1.471552e+38 1.418093e+39
45 1.299584e+39 1.252372e+40
46 1.147712e+40 1.106018e+41
47 1.013588e+41 9.767668e+41
48 8.951387e+41 8.626201e+42
49 7.905312e+42 7.618128e+43
50 6.981483e+43 6.727860e+44
51 6.165615e+44 5.941630e+45
52 5.445090e+45 5.247281e+46
53 4.808767e+46 4.634074e+47
54 4.246806e+47 4.092528e+48
55 3.750517e+48 3.614268e+49
56 3.312225e+49 3.191898e+50
57 2.925152e+50 2.818887e+51
58 2.583314e+51 2.489467e+52
59 2.281423e+52 2.198544e+53
60 2.014812e+53 1.941618e+54
61 1.779357e+54 1.714717e+55
62 1.571419e+55 1.514332e+56
63 1.387780e+56 1.337365e+57
64 1.225601e+57 1.181078e+58
65 1.082375e+58 1.043055e+59
66 9.558871e+58 9.211616e+59
67 8.441805e+59 8.135131e+60
68 7.455280e+60 7.184445e+61
69 6.584043e+61 6.344858e+62
70 5.814620e+62 5.603386e+63
71 5.135113e+63 4.948565e+64
72 4.535015e+64 4.370267e+65
73 4.005045e+65 3.859550e+66
74 3.537008e+66 3.408516e+67
75 3.123667e+67 3.010191e+68
76 2.758630e+68 2.658414e+69
77 2.436252e+69 2.347747e+70
78 2.151547e+70 2.073385e+71
79 1.900113e+71 1.831086e+72
80 1.678063e+72 1.617102e+73
81 1.481961e+73 1.428125e+74
82 1.308777e+74 1.261231e+75
83 1.155831e+75 1.113842e+76
84 1.020758e+76 9.836761e+76
85 9.014707e+76 8.687220e+77
86 7.961232e+77 7.672016e+78
87 7.030868e+78 6.775451e+79
88 6.209228e+79 5.983659e+80
89 5.483607e+80 5.284398e+81
90 4.842783e+81 4.666854e+82
91 4.276847e+82 4.121477e+83
92 3.777047e+83 3.639834e+84
93 3.335654e+84 3.214477e+85
94 2.945844e+85 2.838827e+86
95 2.601587e+86 2.507077e+87
96 2.297561e+87 2.214095e+88
97 2.029064e+88 1.955352e+89
98 1.791944e+89 1.726846e+90
99 1.582534e+90 1.525044e+91
100 1.397597e+91 1.346825e+92
101 1.234271e+92 1.189432e+93
102 1.090032e+93 1.050433e+94
103 9.626488e+93 9.276777e+94
104 8.501520e+94 8.192676e+95
105 7.508017e+95 7.235265e+96
106 6.630617e+96 6.389740e+97
107 5.855751e+97 5.643023e+98
108 5.171438e+98 4.983570e+99
109 4.567094e+99 4.401181e+100
110 4.033376e+100 3.886851e+101
111 3.562028e+101 3.432627e+102
112 3.145763e+102 3.031484e+103
113 2.778144e+103 2.677219e+104
114 2.453485e+104 2.364355e+105
115 2.166766e+105 2.088052e+106
116 1.913554e+106 1.844038e+107
117 1.689933e+107 1.628541e+108
118 1.492444e+108 1.438227e+109
119 1.318035e+109 1.270153e+110
120 1.164007e+110 1.121721e+111
121 1.027979e+111 9.906344e+111
122 9.078474e+111 8.748671e+112
123 8.017547e+112 7.726286e+113
124 7.080603e+113 6.823378e+114
125 6.253151e+114 6.025986e+115
126 5.522396e+115 5.321779e+116
127 4.877039e+116 4.699866e+117
128 4.307100e+117 4.150631e+118
129 3.803765e+118 3.665581e+119
130 3.359250e+119 3.237215e+120
131 2.966682e+120 2.858908e+121
132 2.619990e+121 2.524811e+122
133 2.313814e+122 2.229757e+123
134 2.043417e+123 1.969184e+124
135 1.804620e+124 1.739062e+125
136 1.593729e+125 1.535832e+126
137 1.407483e+126 1.356352e+127
138 1.243002e+127 1.197846e+128
139 1.097742e+128 1.057864e+129
140 9.694583e+128 9.342398e+129
141 8.561657e+129 8.250629e+130
142 7.561127e+130 7.286446e+131
143 6.677520e+131 6.434939e+132
144 5.897173e+132 5.682940e+133
145 5.208019e+133 5.018822e+134
146 4.599401e+134 4.432313e+135
147 4.061906e+135 3.914345e+136
148 3.587225e+136 3.456908e+137
149 3.168015e+137 3.052928e+138
150 2.797796e+138 2.696157e+139
151 2.470840e+139 2.381079e+140
152 2.182093e+140 2.102822e+141
153 1.927090e+141 1.857083e+142
154 1.701887e+142 1.640061e+143
155 1.503001e+143 1.448400e+144
156 1.327358e+144 1.279138e+145
157 1.172241e+145 1.129655e+146
158 1.035250e+146 9.976418e+146
159 9.142693e+146 8.810556e+147
160 8.074261e+147 7.780939e+148
161 7.130689e+148 6.871645e+149
162 6.297384e+149 Inf
