# step err_l2 res_l2
0 2.449623e-01 1.000000e+00
1 1.710864e-01 2.360194e-01
2 1.324320e-01 1.410804e-01
3 1.080889e-01 1.033936e-01
4 9.076213e-02 1.057808e-01
5 7.867991e-02 1.821161e-01
6 7.713097e-02 4.058785e-01
7 1.106000e-01 9.487827e-01
8 2.286047e-01 2.229980e+00
9 5.261539e-01 5.241502e+00
10 1.232197e+00 1.231608e+01
11 2.892934e+00 2.893404e+01
12 6.794626e+00 6.796856e+01
13 1.595969e+01 1.596581e+02
14 3.748790e+01 3.750307e+02
15 8.805629e+01 8.809267e+02
16 2.068382e+02 2.069243e+03
17 4.858490e+02 4.860522e+03
18 1.141227e+03 1.141705e+04
19 2.680668e+03 2.681791e+04
20 6.296713e+03 6.299352e+04
21 1.479057e+04 1.479677e+05
22 3.474207e+04 3.475663e+05
23 8.160685e+04 8.164106e+05
24 1.916892e+05 1.917695e+06
25 4.502653e+05 4.504540e+06
26 1.057644e+06 1.058087e+07
27 2.484336e+06 2.485377e+07
28 5.835542e+06 5.837988e+07
29 1.370731e+07 1.371305e+08
30 3.219757e+07 3.221106e+08
31 7.562998e+07 7.566168e+08
32 1.776499e+08 1.777243e+09
33 4.172879e+08 4.174628e+09
34 9.801820e+08 9.805929e+09
35 2.302383e+09 2.303348e+10
36 5.408148e+09 5.410415e+10
37 1.270339e+10 1.270871e+11
38 2.983942e+10 2.985193e+11
39 7.009085e+10 7.012023e+11
40 1.646388e+11 1.647078e+12
41 3.867258e+11 3.868879e+12
42 9.083936e+11 9.087744e+12
43 2.133757e+12 2.134652e+13
44 5.012056e+12 5.014157e+13
45 1.177299e+13 1.177793e+14
46 2.765399e+13 2.766558e+14
47 6.495740e+13 6.498463e+14
48 1.525807e+14 1.526446e+15
49 3.584021e+14 3.585523e+15
50 8.418630e+14 8.422159e+15
51 1.977481e+15 1.978310e+16
52 4.644973e+15 4.646921e+16
53 1.091074e+16 1.091531e+17
54 2.562861e+16 2.563935e+17
55 6.019993e+16 6.022517e+17
56 1.414057e+17 1.414650e+18
57 3.321527e+17 3.322920e+18
58 7.802050e+17 7.805321e+18
59 1.832651e+18 1.833419e+19
60 4.304776e+18 4.306581e+19
61 1.011164e+19 1.011588e+20
62 2.375158e+19 2.376153e+20
63 5.579090e+19 5.581428e+20
64 1.310492e+20 1.311041e+21
65 3.078259e+20 3.079549e+21
66 7.230629e+20 7.233660e+21
67 1.698427e+21 1.699139e+22
68 3.989495e+21 3.991167e+22
69 9.371063e+21 9.374991e+22
70 2.201201e+22 2.202124e+23
71 5.170478e+22 5.172645e+23
72 1.214511e+23 1.215020e+24
73 2.852808e+23 2.854004e+24
74 6.701059e+23 6.703868e+24
75 1.574035e+24 1.574695e+25
76 3.697305e+24 3.698855e+25
77 8.684727e+24 8.688368e+25
78 2.039986e+25 2.040841e+26
79 4.791793e+25 4.793801e+26
80 1.125561e+26 1.126033e+27
81 2.643868e+26 2.644977e+27
82 6.210274e+26 6.212877e+27
83 1.458753e+27 1.459364e+28
84 3.426515e+27 3.427951e+28
85 8.048659e+27 8.052033e+28
86 1.890577e+28 1.891370e+29
87 4.440842e+28 4.442704e+29
88 1.043125e+29 1.043562e+30
89 2.450232e+29 2.451259e+30
90 5.755434e+29 5.757847e+30
91 1.351914e+30 1.352481e+31
92 3.175557e+30 3.176888e+31
93 7.459176e+30 7.462303e+31
94 1.752112e+31 1.752846e+32
95 4.115596e+31 4.117321e+32
96 9.667265e+31 9.671317e+32
97 2.270777e+32 2.271729e+33
98 5.333907e+32 5.336143e+33
99 1.252900e+33 1.253425e+34
100 2.942980e+33 2.944213e+34
101 6.912867e+33 6.915765e+34
102 1.623787e+34 1.624468e+35
103 3.814170e+34 3.815769e+35
104 8.959236e+34 8.962991e+35
105 2.104466e+35 2.105348e+36
106 4.943252e+35 4.945325e+36
107 1.161138e+36 1.161624e+37
108 2.727436e+36 2.728580e+37
109 6.406570e+36 6.409255e+37
110 1.504861e+37 1.505492e+38
111 3.534821e+37 3.536302e+38
112 8.303062e+37 8.306543e+38
113 1.950335e+38 1.951153e+39
114 4.581209e+38 4.583130e+39
115 1.076096e+39 1.076547e+40
116 2.527679e+39 2.528739e+40
117 5.937353e+39 5.939842e+40
118 1.394645e+40 1.395230e+41
119 3.275931e+40 3.277304e+41
120 7.694947e+40 7.698173e+41
121 1.807493e+41 1.808250e+42
122 4.245682e+41 4.247462e+42
123 9.972829e+41 9.977010e+42
124 2.342552e+42 2.343534e+43
125 5.502502e+42 5.504809e+43
126 1.292502e+43 1.293044e+44
127 3.036002e+43 3.037275e+44
128 7.131370e+43 7.134359e+44
129 1.675112e+44 1.675814e+45
130 3.934729e+44 3.936378e+45
131 9.242421e+44 9.246295e+45
132 2.170984e+45 2.171894e+46
133 5.099500e+45 5.101637e+46
134 1.197839e+46 1.198341e+47
135 2.813646e+46 2.814825e+47
136 6.609069e+46 6.611840e+47
137 1.552427e+47 1.553078e+48
138 3.646550e+47 3.648078e+48
139 8.565507e+47 8.569097e+48
140 2.011982e+48 2.012825e+49
141 4.726013e+48 4.727994e+49
142 1.110110e+49 1.110575e+50
143 2.607575e+49 2.608668e+50
144 6.125022e+49 6.127590e+50
145 1.438728e+50 1.439331e+51
146 3.379477e+50 3.380894e+51
147 7.938170e+50 7.941498e+51
148 1.864624e+51 1.865406e+52
149 4.379880e+51 4.381716e+52
150 1.028805e+52 1.029236e+53
151 2.416596e+52 2.417609e+53
152 5.676426e+52 5.678806e+53
153 1.333355e+53 1.333914e+54
154 3.131965e+53 3.133277e+54
155 7.356780e+53 7.359864e+54
156 1.728059e+54 1.728784e+55
157 4.059098e+54 4.060800e+55
158 9.534557e+54 9.538553e+55
159 2.239605e+55 2.240544e+56
160 5.260685e+55 5.262891e+56
161 1.235701e+56 1.236219e+57
162 2.902580e+56 2.903797e+57
163 6.817970e+56 6.820828e+57
164 1.601497e+57 1.602168e+58
165 3.761811e+57 3.763387e+58
166 8.836247e+57 8.839951e+58
167 2.075577e+58 2.076447e+59
168 4.875394e+58 4.877437e+59
169 1.145198e+59 1.145678e+60
170 2.689995e+59 2.691123e+60
171 6.318623e+59 6.321271e+60
172 1.484203e+60 1.484825e+61
173 3.486296e+60 3.487757e+61
174 8.189081e+60 8.192514e+61
175 1.923562e+61 1.924368e+62
176 4.518320e+61 4.520214e+62
177 1.061324e+62 1.061769e+63
178 2.492980e+62 2.494025e+63
179 5.855848e+62 5.858302e+63
180 1.375500e+63 1.376077e+64
181 3.230960e+63 3.232315e+64
182 7.589314e+63 7.592495e+64
183 1.782680e+64 1.783427e+65
184 4.187399e+64 4.189154e+65
185 9.835927e+64 9.840050e+65
186 2.310395e+65 2.311363e+66
187 5.426966e+65 5.429241e+66
188 1.274759e+66 1.275293e+67
189 2.994325e+66 2.995580e+67
190 7.033474e+66 7.036422e+67
