# level nx ny res_l2
4 8 8 2.076994e-10
1 64 64 4.857314e-03
2 32 32 8.071037e-08
3 16 16 3.951893e-09
4 8 8 2.059034e-10
1 64 64 4.816526e-03
2 32 32 8.001264e-08
3 16 16 3.917728e-09
4 8 8 2.041228e-10
1 64 64 4.776081e-03
2 32 32 7.932137e-08
3 16 16 3.883881e-09
4 8 8 2.023591e-10
1 64 64 4.735975e-03
2 32 32 7.863651e-08
3 16 16 3.850347e-09
4 8 8 2.006117e-10
1 64 64 4.696207e-03
2 32 32 7.795797e-08
3 16 16 3.817123e-09
4 8 8 1.988805e-10
1 64 64 4.656772e-03
2 32 32 7.728569e-08
3 16 16 3.784204e-09
4 8 8 1.971648e-10
1 64 64 4.617669e-03
2 32 32 7.661959e-08
3 16 16 3.751590e-09
4 8 8 1.954661e-10
1 64 64 4.578895e-03
2 32 32 7.595961e-08
3 16 16 3.719274e-09
4 8 8 1.937821e-10
1 64 64 4.540446e-03
2 32 32 7.530568e-08
3 16 16 3.687255e-09
4 8 8 1.921140e-10
1 64 64 4.502320e-03
2 32 32 7.465774e-08
3 16 16 3.655529e-09
4 8 8 1.904609e-10
1 64 64 4.464514e-03
2 32 32 7.401571e-08
3 16 16 3.624091e-09
4 8 8 1.888218e-10
1 64 64 4.427026e-03
2 32 32 7.337954e-08
3 16 16 3.592943e-09
4 8 8 1.871999e-10
1 64 64 4.389853e-03
2 32 32 7.274916e-08
3 16 16 3.562077e-09
4 8 8 1.855914e-10
1 64 64 4.352992e-03
2 32 32 7.212450e-08
3 16 16 3.531490e-09
4 8 8 1.839975e-10
1 64 64 4.316441e-03
2 32 32 7.150552e-08
3 16 16 3.501182e-09
4 8 8 1.824184e-10
1 64 64 4.280196e-03
2 32 32 7.089214e-08
3 16 16 3.471148e-09
4 8 8 1.808531e-10
1 64 64 4.244257e-03
2 32 32 7.028430e-08
3 16 16 3.441386e-09
4 8 8 1.793027e-10
1 64 64 4.208619e-03
2 32 32 6.968196e-08
3 16 16 3.411893e-09
4 8 8 1.777662e-10
1 64 64 4.173280e-03
2 32 32 6.908505e-08
3 16 16 3.382666e-09
4 8 8 1.762427e-10
1 64 64 4.138238e-03
2 32 32 6.849350e-08
3 16 16 3.353701e-09
4 8 8 1.747337e-10
1 64 64 4.103491e-03
2 32 32 6.790728e-08
3 16 16 3.324997e-09
4 8 8 1.732381e-10
1 64 64 4.069035e-03
2 32 32 6.732632e-08
3 16 16 3.296551e-09
4 8 8 1.717557e-10
1 64 64 4.034869e-03
2 32 32 6.675056e-08
3 16 16 3.268359e-09
4 8 8 1.702870e-10
1 64 64 4.000989e-03
2 32 32 6.617996e-08
3 16 16 3.240420e-09
4 8 8 1.688317e-10
1 64 64 3.967394e-03
2 32 32 6.561446e-08
3 16 16 3.212731e-09
4 8 8 1.673895e-10
1 64 64 3.934082e-03
2 32 32 6.505401e-08
3 16 16 3.185289e-09
4 8 8 1.659586e-10
1 64 64 3.901049e-03
2 32 32 6.449855e-08
3 16 16 3.158091e-09
4 8 8 1.645416e-10
1 64 64 3.868293e-03
2 32 32 6.394804e-08
3 16 16 3.131136e-09
4 8 8 1.631367e-10
1 64 64 3.835813e-03
2 32 32 6.340242e-08
3 16 16 3.104420e-09
4 8 8 1.617450e-10
1 64 64 3.803605e-03
2 32 32 6.286165e-08
3 16 16 3.077942e-09
4 8 8 1.603655e-10
1 64 64 3.771668e-03
2 32 32 6.232568e-08
3 16 16 3.051699e-09
4 8 8 1.589985e-10
1 64 64 3.739999e-03
2 32 32 6.179446e-08
3 16 16 3.025687e-09
4 8 8 1.576426e-10
1 64 64 3.708596e-03
2 32 32 6.126794e-08
3 16 16 2.999907e-09
4 8 8 1.562997e-10
