# level nx ny res_l2
4 8 8 3.915665e-02
1 64 64 1.260789e+00
2 32 32 4.274556e-01
3 16 16 1.359653e-01
4 8 8 3.369088e-02
1 64 64 1.084897e+00
2 32 32 3.677939e-01
3 16 16 1.169877e-01
4 8 8 2.898808e-02
1 64 64 9.335656e-01
2 32 32 3.164591e-01
3 16 16 1.006590e-01
4 8 8 2.494174e-02
1 64 64 8.033676e-01
2 32 32 2.722891e-01
3 16 16 8.660926e-02
4 8 8 2.146024e-02
1 64 64 6.913554e-01
2 32 32 2.342840e-01
3 16 16 7.452054e-02
4 8 8 1.846471e-02
1 64 64 5.949930e-01
2 32 32 2.015834e-01
3 16 16 6.411911e-02
4 8 8 1.588732e-02
1 64 64 5.120983e-01
2 32 32 1.734469e-01
3 16 16 5.516946e-02
4 8 8 1.366970e-02
1 64 64 4.407942e-01
2 32 32 1.492376e-01
3 16 16 4.746898e-02
4 8 8 1.176163e-02
1 64 64 3.794658e-01
2 32 32 1.284073e-01
3 16 16 4.084331e-02
4 8 8 1.011990e-02
1 64 64 3.267239e-01
2 32 32 1.104844e-01
3 16 16 3.514243e-02
4 8 8 8.707335e-03
1 64 64 2.813738e-01
2 32 32 9.506315e-02
3 16 16 3.023728e-02
4 8 8 7.491939e-03
1 64 64 2.423878e-01
2 32 32 8.179433e-02
3 16 16 2.601677e-02
4 8 8 6.446194e-03
1 64 64 2.088823e-01
2 32 32 7.037755e-02
3 16 16 2.238536e-02
4 8 8 5.546418e-03
1 64 64 1.800975e-01
2 32 32 6.055429e-02
3 16 16 1.926082e-02
4 8 8 4.772236e-03
1 64 64 1.553804e-01
2 32 32 5.210216e-02
3 16 16 1.657239e-02
4 8 8 4.106117e-03
1 64 64 1.341695e-01
2 32 32 4.482975e-02
3 16 16 1.425922e-02
4 8 8 3.532977e-03
1 64 64 1.159828e-01
2 32 32 3.857243e-02
3 16 16 1.226892e-02
4 8 8 3.039838e-03
1 64 64 1.004058e-01
2 32 32 3.318849e-02
3 16 16 1.055642e-02
4 8 8 2.615532e-03
1 64 64 8.708263e-02
