# level nx ny res_l2_norm
1 64 64 8.973524e-02
2 32 32 2.225992e-02
3 16 16 5.666002e-03
4 8 8 1.257145e-03
1 64 64 4.263167e-02
2 32 32 1.226720e-02
3 16 16 3.220384e-03
4 8 8 6.848462e-04
1 64 64 2.563804e-02
2 32 32 7.824113e-03
3 16 16 2.120555e-03
4 8 8 4.579746e-04
1 64 64 1.737079e-02
2 32 32 5.475696e-03
3 16 16 1.536546e-03
4 8 8 3.437002e-04
1 64 64 1.245906e-02
2 32 32 4.004899e-03
3 16 16 1.155876e-03
4 8 8 2.662095e-04
1 64 64 9.277500e-03
2 32 32 3.021820e-03
3 16 16 8.917468e-04
4 8 8 2.100185e-04
1 64 64 7.103886e-03
2 32 32 2.336121e-03
3 16 16 7.015447e-04
4 8 8 1.679347e-04
1 64 64 5.566378e-03
2 32 32 1.843869e-03
3 16 16 5.613928e-04
4 8 8 1.359704e-04
1 64 64 4.447323e-03
2 32 32 1.481475e-03
3 16 16 4.559479e-04
4 8 8 1.113652e-04
1 64 64 3.611335e-03
2 32 32 1.208228e-03
3 16 16 3.749772e-04
4 8 8 9.214430e-05
1 64 64 2.971449e-03
2 32 32 9.974706e-04
3 16 16 3.115630e-04
4 8 8 7.689540e-05
1 64 64 2.470731e-03
2 32 32 8.315073e-04
3 16 16 2.609946e-04
4 8 8 6.461586e-05
1 64 64 2.071285e-03
2 32 32 6.984302e-04
3 16 16 2.200319e-04
4 8 8 5.459425e-05
1 64 64 1.747412e-03
2 32 32 5.900870e-04
3 16 16 1.864118e-04
4 8 8 4.632193e-05
1 64 64 1.481308e-03
2 32 32 5.007801e-04
3 16 16 1.585230e-04
4 8 8 3.942998e-05
1 64 64 1.260339e-03
2 32 32 4.264331e-04
3 16 16 1.351921e-04
4 8 8 3.364569e-05
1 64 64 1.075316e-03
2 32 32 3.640580e-04
3 16 16 1.155447e-04
4 8 8 2.876320e-05
1 64 64 9.193835e-04
2 32 32 3.114106e-04
3 16 16 9.891444e-05
4 8 8 2.462374e-05
1 64 64 7.873093e-04
2 32 32 2.667671e-04
3 16 16 8.478242e-05
4 8 8 2.110244e-05
1 64 64 6.750132e-04
2 32 32 2.287756e-04
3 16 16 7.273713e-05
4 8 8 1.809931e-05
1 64 64 5.792530e-04
2 32 32 1.963571e-04
3 16 16 6.244683e-05
4 8 8 1.553314e-05
1 64 64 4.974112e-04
2 32 32 1.686367e-04
3 16 16 5.364046e-05
4 8 8 1.333710e-05
1 64 64 4.273464e-04
2 32 32 1.448965e-04
3 16 16 4.609403e-05
4 8 8 1.145569e-05
1 64 64 3.672870e-04
2 32 32 1.245409e-04
3 16 16 3.962081e-05
4 8 8 9.842450e-06
1 64 64 3.157545e-04
2 32 32 1.070718e-04
3 16 16 3.406398e-05
4 8 8 8.458234e-06
1 64 64 2.715063e-04
2 32 32 9.206991e-05
3 16 16 2.929111e-05
4 8 8 7.269928e-06
1 64 64 2.334922e-04
2 32 32 7.918033e-05
3 16 16 2.518987e-05
4 8 8 6.249403e-06
1 64 64 2.008210e-04
2 32 32 6.810159e-05
3 16 16 2.166465e-05
4 8 8 5.372700e-06
1 64 64 1.727335e-04
2 32 32 5.857672e-05
3 16 16 1.863383e-05
4 8 8 4.619372e-06
1 64 64 1.485814e-04
