# step err_l2 res_l2
0 2.449623e-01 1.000000e+00
1 1.734646e-01 2.475557e-01
2 1.482364e-01 1.219814e-01
3 1.310124e-01 8.351193e-02
4 1.177175e-01 6.338776e-02
5 1.068402e-01 5.078180e-02
6 9.761270e-02 4.213755e-02
7 8.958638e-02 3.588275e-02
8 8.247790e-02 3.118488e-02
9 7.609937e-02 2.754554e-02
10 7.032149e-02 2.464351e-02
11 6.505221e-02 2.226425e-02
12 6.022372e-02 2.026258e-02
13 5.578425e-02 1.853988e-02
14 5.169287e-02 1.702899e-02
15 4.791613e-02 1.568388e-02
16 4.442591e-02 1.447264e-02
17 4.119794e-02 1.337273e-02
18 3.821093e-02 1.236781e-02
19 3.544587e-02 1.144571e-02
20 3.288565e-02 1.059702e-02
21 3.051468e-02 9.814240e-03
22 2.831876e-02 9.091177e-03
23 2.628484e-02 8.422598e-03
24 2.440090e-02 7.803961e-03
25 2.265589e-02 7.231257e-03
26 2.103958e-02 6.700899e-03
27 1.954253e-02 6.209642e-03
28 1.815601e-02 5.754530e-03
29 1.687195e-02 5.332857e-03
30 1.568287e-02 4.942138e-03
31 1.458186e-02 4.580079e-03
32 1.356251e-02 4.244568e-03
33 1.261890e-02 3.933649e-03
34 1.174554e-02 3.645514e-03
35 1.093736e-02 3.378492e-03
36 1.018963e-02 3.131032e-03
37 9.498017e-03 2.901700e-03
38 8.858480e-03 2.689167e-03
39 8.267285e-03 2.492202e-03
40 7.720973e-03 2.309665e-03
41 7.216340e-03 2.140497e-03
42 6.750418e-03 1.983720e-03
43 6.320457e-03 1.838427e-03
44 5.923905e-03 1.703775e-03
45 5.558398e-03 1.578986e-03
46 5.221740e-03 1.463336e-03
47 4.911892e-03 1.356158e-03
48 4.626959e-03 1.256829e-03
49 4.365175e-03 1.164775e-03
50 4.124897e-03 1.079464e-03
51 3.904591e-03 1.000401e-03
52 3.702824e-03 9.271289e-04
53 3.518254e-03 8.592235e-04
54 3.349625e-03 7.962916e-04
55 3.195757e-03 7.379690e-04
56 3.055543e-03 6.839181e-04
57 2.927941e-03 6.338261e-04
58 2.811970e-03 5.874029e-04
59 2.706711e-03 5.443799e-04
60 2.611295e-03 5.045080e-04
61 2.524910e-03 4.675565e-04
62 2.446791e-03 4.333114e-04
63 2.376225e-03 4.015744e-04
64 2.312545e-03 3.721620e-04
65 2.255128e-03 3.449038e-04
66 2.203398e-03 3.196421e-04
67 2.156822e-03 2.962307e-04
68 2.114907e-03 2.745339e-04
69 2.077200e-03 2.544263e-04
70 2.043287e-03 2.357914e-04
71 2.012789e-03 2.185214e-04
72 1.985362e-03 2.025163e-04
73 1.960693e-03 1.876834e-04
74 1.938498e-03 1.739370e-04
75 1.918523e-03 1.611973e-04
76 1.900537e-03 1.493908e-04
77 1.884333e-03 1.384490e-04
78 1.869725e-03 1.283086e-04
79 1.856548e-03 1.189109e-04
80 1.844651e-03 1.102016e-04
81 1.833903e-03 1.021301e-04
82 1.824183e-03 9.464979e-05
83 1.815387e-03 8.771738e-05
84 1.807419e-03 8.129271e-05
85 1.800194e-03 7.533861e-05
86 1.793638e-03 6.982060e-05
87 1.787682e-03 6.470674e-05
88 1.782268e-03 5.996744e-05
89 1.777341e-03 5.557526e-05
90 1.772854e-03 5.150477e-05
91 1.768763e-03 4.773242e-05
92 1.765031e-03 4.423636e-05
93 1.761623e-03 4.099637e-05
94 1.758509e-03 3.799368e-05
95 1.755661e-03 3.521092e-05
96 1.753054e-03 3.263197e-05
97 1.750666e-03 3.024191e-05
98 1.748478e-03 2.802691e-05
99 1.746471e-03 2.597414e-05
100 1.744629e-03 2.407172e-05
101 1.742938e-03 2.230864e-05
102 1.741383e-03 2.067470e-05
103 1.739955e-03 1.916042e-05
