# step err_l2 res_l2
0 2.449623e-01 1.000000e+00
1 1.923687e-01 1.808268e+00
2 1.684644e-01 1.679807e+00
3 1.477401e-01 1.431209e+00
4 1.178441e-01 1.473794e+00
5 1.029733e-01 1.317870e+00
6 8.837611e-02 1.108701e+00
7 6.788401e-02 1.073671e+00
8 6.809933e-02 9.056890e-01
9 6.132218e-02 7.848993e-01
10 5.225175e-02 6.848931e-01
11 4.209145e-02 6.407316e-01
12 4.050575e-02 4.957029e-01
13 3.172035e-02 4.546976e-01
14 2.608930e-02 4.274735e-01
15 2.597046e-02 3.136311e-01
16 1.928815e-02 2.920937e-01
17 1.588519e-02 2.687592e-01
18 1.641830e-02 1.698930e-01
19 1.063753e-02 1.774872e-01
20 9.469968e-03 1.673234e-01
21 1.092353e-02 1.114803e-01
22 7.463667e-03 1.161401e-01
23 6.340457e-03 1.213696e-01
24 8.279522e-03 8.570503e-02
25 5.872469e-03 8.618924e-02
26 4.751470e-03 9.446463e-02
27 6.702571e-03 6.890631e-02
28 4.787003e-03 6.730894e-02
29 3.742503e-03 7.216698e-02
30 5.242230e-03 5.315470e-02
31 3.643027e-03 5.186296e-02
32 2.982462e-03 5.524474e-02
33 4.330172e-03 4.408831e-02
34 3.250106e-03 4.158905e-02
35 2.587791e-03 4.337061e-02
36 3.597914e-03 3.640662e-02
37 2.927287e-03 3.492747e-02
38 2.465581e-03 3.848111e-02
39 3.217069e-03 3.648202e-02
40 2.805234e-03 3.686018e-02
41 2.668871e-03 3.945143e-02
42 3.193076e-03 3.872826e-02
43 2.920897e-03 3.953468e-02
44 2.935986e-03 4.218504e-02
45 3.261913e-03 4.359327e-02
46 3.117338e-03 4.549569e-02
47 3.207343e-03 4.774855e-02
48 3.481751e-03 4.903718e-02
49 3.417200e-03 5.042682e-02
50 3.502969e-03 5.219170e-02
51 3.681609e-03 5.360179e-02
52 3.605730e-03 5.483214e-02
53 3.682352e-03 5.578896e-02
54 3.792216e-03 5.607192e-02
55 3.725908e-03 5.597190e-02
56 3.745014e-03 5.578409e-02
57 3.778246e-03 5.548510e-02
58 3.692070e-03 5.514865e-02
59 3.667587e-03 5.469948e-02
60 3.684832e-03 5.391804e-02
61 3.602395e-03 5.282344e-02
62 3.565876e-03 5.155257e-02
63 3.534829e-03 5.018569e-02
64 3.414976e-03 4.879669e-02
65 3.339859e-03 4.737163e-02
66 3.268923e-03 4.584362e-02
67 3.167389e-03 4.433972e-02
68 3.123358e-03 4.326830e-02
69 3.120341e-03 4.325038e-02
70 3.158927e-03 4.496406e-02
71 3.309998e-03 4.886051e-02
72 3.601397e-03 5.505360e-02
73 4.005870e-03 6.349132e-02
74 4.574317e-03 7.410428e-02
75 5.275607e-03 8.682329e-02
76 6.087047e-03 1.015382e-01
77 7.023481e-03 1.180599e-01
78 8.053829e-03 1.361316e-01
79 9.167685e-03 1.554751e-01
80 1.035215e-02 1.758283e-01
81 1.158625e-02 1.969582e-01
82 1.285387e-02 2.186568e-01
83 1.414071e-02 2.407289e-01
84 1.543925e-02 2.629874e-01
85 1.673143e-02 2.852573e-01
86 1.801765e-02 3.073820e-01
87 1.928164e-02 3.292205e-01
88 2.051669e-02 3.506325e-01
89 2.171139e-02 3.714550e-01
90 2.285230e-02 3.914812e-01
91 2.392527e-02 4.104517e-01
92 2.491296e-02 4.280592e-01
93 2.579675e-02 4.439646e-01
94 2.655598e-02 4.578138e-01
95 2.716999e-02 4.692515e-01
96 2.762074e-02 4.779277e-01
97 2.788758e-02 4.835023e-01
98 2.795843e-02 4.856508e-01
99 2.781644e-02 4.840757e-01
100 2.745465e-02 4.785288e-01
101 2.686682e-02 4.688482e-01
102 2.605958e-02 4.550244e-01
103 2.505539e-02 4.373141e-01
104 2.390612e-02 4.164354e-01
105 2.271250e-02 3.938874e-01
106 2.164572e-02 3.724228e-01
107 2.097449e-02 3.565834e-01
108 2.105260e-02 3.528255e-01
109 2.223994e-02 3.682832e-01
110 2.476886e-02 4.080224e-01
111 2.867202e-02 4.731238e-01
112 3.384354e-02 5.615810e-01
113 4.013312e-02 6.703893e-01
114 4.740136e-02 7.967936e-01
115 5.553589e-02 9.385774e-01
116 6.444218e-02 1.093954e+00
117 7.404159e-02 1.261385e+00
118 8.425679e-02 1.439434e+00
119 9.501372e-02 1.626658e+00
120 1.062306e-01 1.821535e+00
121 1.178217e-01 2.022417e+00
122 1.296902e-01 2.227502e+00
123 1.417317e-01 2.434818e+00
124 1.538304e-01 2.642216e+00
125 1.658613e-01 2.847375e+00
126 1.776883e-01 3.047807e+00
127 1.891662e-01 3.240859e+00
128 2.001381e-01 3.423728e+00
129 2.104386e-01 3.593461e+00
130 2.198903e-01 3.746970e+00
131 2.283077e-01 3.881047e+00
132 2.354945e-01 3.992391e+00
133 2.412489e-01 4.077655e+00
134 2.453631e-01 4.133510e+00
135 2.476315e-01 4.156752e+00
136 2.478549e-01 4.144453e+00
137 2.458543e-01 4.094188e+00
138 2.414853e-01 4.004387e+00
139 2.346665e-01 3.874879e+00
140 2.254198e-01 3.707780e+00
141 2.139438e-01 3.508962e+00
142 2.007314e-01 3.290475e+00
143 1.867764e-01 3.074391e+00
144 1.738827e-01 2.897793e+00
