# step err_l2 res_l2
0 2.460291e-01 1.000000e+00
1 1.830022e-01 1.412188e-01
2 1.604938e-01 7.011479e-02
3 1.445358e-01 4.622659e-02
4 1.320382e-01 3.571236e-02
5 1.217172e-01 3.009894e-02
6 1.129077e-01 2.703165e-02
7 1.052151e-01 2.608100e-02
8 9.838492e-02 2.793104e-02
9 9.224735e-02 3.418331e-02
10 8.669335e-02 4.707764e-02
11 8.167354e-02 6.960333e-02
12 7.722826e-02 1.063179e-01
13 7.358149e-02 1.645217e-01
14 7.137539e-02 2.558116e-01
15 7.216413e-02 3.984121e-01
16 7.914931e-02 6.208147e-01
17 9.756655e-02 9.674687e-01
18 1.342601e-01 1.507665e+00
19 1.980010e-01 2.349387e+00
20 3.017720e-01 3.660898e+00
21 4.661753e-01 5.704385e+00
22 7.238921e-01 8.888376e+00
23 1.126280e+00 1.384943e+01
24 1.753626e+00 2.157940e+01
25 2.731164e+00 3.362380e+01
26 4.254079e+00 5.239080e+01
27 6.626483e+00 8.163283e+01
28 1.032215e+01 1.271970e+02
29 1.607913e+01 1.981942e+02
30 2.504719e+01 3.088216e+02
31 3.901745e+01 4.812016e+02
32 6.078018e+01 7.498065e+02
33 9.468216e+01 1.168353e+03
34 1.474950e+02 1.820546e+03
35 2.297680e+02 2.836823e+03
36 3.579355e+02 4.420440e+03
37 5.576002e+02 6.888136e+03
38 8.686484e+02 1.073348e+04
39 1.353219e+03 1.672563e+04
40 2.108119e+03 2.606316e+04
41 3.284167e+03 4.061388e+04
42 5.116326e+03 6.328850e+04
43 7.970657e+03 9.862292e+04
44 1.241747e+04 1.536858e+05
45 1.934527e+04 2.394928e+05
46 3.013836e+04 3.732106e+05
47 4.695343e+04 5.815918e+05
48 7.315062e+04 9.063278e+05
49 1.139650e+05 1.412392e+06
50 1.775531e+05 2.201039e+06
51 2.766226e+05 3.430072e+06
52 4.309730e+05 5.345415e+06
53 6.714527e+05 8.330334e+06
54 1.046125e+06 1.298213e+07
55 1.629877e+06 2.023171e+07
56 2.539388e+06 3.152984e+07
57 3.956454e+06 4.913758e+07
58 6.164333e+06 7.657878e+07
59 9.604371e+06 1.193454e+08
60 1.496424e+07 1.859970e+08
61 2.331543e+07 2.898737e+08
62 3.632746e+07 4.517669e+08
63 5.660171e+07 7.040811e+08
64 8.819154e+07 1.097321e+09
65 1.374128e+08 1.710202e+09
66 2.141068e+08 2.665408e+09
67 3.336080e+08 4.154156e+09
68 5.198109e+08 6.474474e+09
69 8.099482e+08 1.009088e+10
70 1.262037e+09 1.572736e+10
71 1.966480e+09 2.451239e+10
72 3.064149e+09 3.820481e+10
73 4.774559e+09 5.954605e+10
74 7.439768e+09 9.280911e+10
75 1.159280e+10 1.446542e+11
76 1.806426e+10 2.254622e+11
77 2.814848e+10 3.514142e+11
78 4.386241e+10 5.477311e+11
79 6.834912e+10 8.537253e+11
80 1.065065e+11 1.330673e+12
81 1.659672e+11 2.074089e+12
82 2.586253e+11 3.232852e+12
83 4.030164e+11 5.039030e+12
84 6.280254e+11 7.854356e+12
85 9.786661e+11 1.224269e+13
86 1.525087e+12 1.908295e+13
87 2.376608e+12 2.974519e+13
88 3.703593e+12 4.636504e+13
89 5.771541e+12 7.227149e+13
90 8.994210e+12 1.126538e+14
91 1.401642e+13 1.756011e+14
92 2.184308e+13 2.737230e+14
93 3.404031e+13 4.266755e+14
94 5.304883e+13 6.650995e+14
95 8.267247e+13 1.036760e+15
96 1.288394e+14 1.616114e+15
97 2.007888e+14 2.519233e+15
98 3.129196e+14 3.927057e+15
