# level nx ny res_l2_norm
4 8 8 6.341251e-05
1 64 64 1.502569e-03
2 32 32 5.287041e-04
3 16 16 1.843165e-04
4 8 8 6.216522e-05
1 64 64 1.472207e-03
2 32 32 5.180538e-04
3 16 16 1.806356e-04
4 8 8 6.095475e-05
1 64 64 1.442803e-03
2 32 32 5.077370e-04
3 16 16 1.770677e-04
4 8 8 5.977912e-05
1 64 64 1.414302e-03
2 32 32 4.977350e-04
3 16 16 1.736065e-04
4 8 8 5.863650e-05
1 64 64 1.386654e-03
2 32 32 4.880303e-04
3 16 16 1.702463e-04
4 8 8 5.752520e-05
1 64 64 1.359812e-03
2 32 32 4.786069e-04
3 16 16 1.669816e-04
4 8 8 5.644365e-05
1 64 64 1.333735e-03
2 32 32 4.694501e-04
3 16 16 1.638075e-04
4 8 8 5.539040e-05
1 64 64 1.308382e-03
2 32 32 4.605459e-04
3 16 16 1.607195e-04
4 8 8 5.436409e-05
1 64 64 1.283716e-03
2 32 32 4.518816e-04
3 16 16 1.577132e-04
4 8 8 5.336347e-05
1 64 64 1.259704e-03
2 32 32 4.434454e-04
3 16 16 1.547846e-04
4 8 8 5.238739e-05
1 64 64 1.236313e-03
2 32 32 4.352264e-04
3 16 16 1.519302e-04
4 8 8 5.143475e-05
1 64 64 1.213514e-03
2 32 32 4.272142e-04
3 16 16 1.491464e-04
4 8 8 5.050455e-05
1 64 64 1.191281e-03
2 32 32 4.193995e-04
3 16 16 1.464302e-04
4 8 8 4.959586e-05
1 64 64 1.169587e-03
2 32 32 4.117734e-04
3 16 16 1.437786e-04
4 8 8 4.870780e-05
1 64 64 1.148409e-03
2 32 32 4.043278e-04
3 16 16 1.411888e-04
4 8 8 4.783955e-05
1 64 64 1.127724e-03
2 32 32 3.970550e-04
3 16 16 1.386583e-04
4 8 8 4.699036e-05
1 64 64 1.107514e-03
2 32 32 3.899479e-04
3 16 16 1.361846e-04
4 8 8 4.615952e-05
1 64 64 1.087758e-03
2 32 32 3.830000e-04
3 16 16 1.337657e-04
4 8 8 4.534636e-05
1 64 64 1.068439e-03
2 32 32 3.762051e-04
3 16 16 1.313994e-04
4 8 8 4.455025e-05
1 64 64 1.049540e-03
2 32 32 3.695573e-04
3 16 16 1.290837e-04
4 8 8 4.377062e-05
1 64 64 1.031046e-03
2 32 32 3.630513e-04
3 16 16 1.268169e-04
4 8 8 4.300692e-05
1 64 64 1.012942e-03
2 32 32 3.566821e-04
3 16 16 1.245972e-04
4 8 8 4.225862e-05
1 64 64 9.952152e-04
2 32 32 3.504449e-04
3 16 16 1.224231e-04
4 8 8 4.152525e-05
1 64 64 9.778517e-04
2 32 32 3.443353e-04
3 16 16 1.202930e-04
4 8 8 4.080634e-05
1 64 64 9.608400e-04
2 32 32 3.383491e-04
3 16 16 1.182056e-04
4 8 8 4.010147e-05
1 64 64 9.441689e-04
2 32 32 3.324823e-04
3 16 16 1.161595e-04
4 8 8 3.941022e-05
1 64 64 9.278278e-04
2 32 32 3.267314e-04
3 16 16 1.141534e-04
4 8 8 3.873222e-05
1 64 64 9.118066e-04
2 32 32 3.210927e-04
3 16 16 1.121862e-04
4 8 8 3.806708e-05
1 64 64 8.960959e-04
2 32 32 3.155630e-04
3 16 16 1.102568e-04
4 8 8 3.741448e-05
1 64 64 8.806868e-04
2 32 32 3.101393e-04
3 16 16 1.083641e-04
4 8 8 3.677407e-05
1 64 64 8.655708e-04
2 32 32 3.048184e-04
3 16 16 1.065072e-04
4 8 8 3.614554e-05
1 64 64 8.507400e-04
2 32 32 2.995978e-04
3 16 16 1.046849e-04
4 8 8 3.552860e-05
1 64 64 8.361866e-04
2 32 32 2.944746e-04
3 16 16 1.028965e-04
4 8 8 3.492295e-05
1 64 64 8.219036e-04
2 32 32 2.894464e-04
3 16 16 1.011411e-04
4 8 8 3.432833e-05
1 64 64 8.078840e-04
2 32 32 2.845108e-04
3 16 16 9.941790e-05
4 8 8 3.374448e-05
1 64 64 7.941212e-04
2 32 32 2.796654e-04
3 16 16 9.772606e-05
4 8 8 3.317114e-05
1 64 64 7.806091e-04
2 32 32 2.749082e-04
3 16 16 9.606485e-05
4 8 8 3.260807e-05
1 64 64 7.673415e-04
2 32 32 2.702370e-04
3 16 16 9.443356e-05
4 8 8 3.205505e-05
1 64 64 7.543129e-04
2 32 32 2.656497e-04
3 16 16 9.283151e-05
4 8 8 3.151186e-05
1 64 64 7.415178e-04
2 32 32 2.611446e-04
3 16 16 9.125804e-05
4 8 8 3.097827e-05
1 64 64 7.289508e-04
2 32 32 2.567197e-04
3 16 16 8.971250e-05
4 8 8 3.045409e-05
1 64 64 7.166069e-04
2 32 32 2.523733e-04
3 16 16 8.819431e-05
4 8 8 2.993913e-05
1 64 64 7.044813e-04
2 32 32 2.481037e-04
3 16 16 8.670286e-05
4 8 8 2.943318e-05
1 64 64 6.925693e-04
2 32 32 2.439092e-04
3 16 16 8.523760e-05
4 8 8 2.893606e-05
1 64 64 6.808663e-04
2 32 32 2.397882e-04
3 16 16 8.379797e-05
4 8 8 2.844760e-05
1 64 64 6.693681e-04
2 32 32 2.357393e-04
3 16 16 8.238347e-05
4 8 8 2.796761e-05
1 64 64 6.580705e-04
2 32 32 2.317610e-04
3 16 16 8.099357e-05
4 8 8 2.749595e-05
1 64 64 6.469693e-04
2 32 32 2.278518e-04
3 16 16 7.962778e-05
4 8 8 2.703243e-05
1 64 64 6.360607e-04
2 32 32 2.240104e-04
3 16 16 7.828563e-05
4 8 8 2.657691e-05
1 64 64 6.253408e-04
2 32 32 2.202354e-04
3 16 16 7.696665e-05
4 8 8 2.612923e-05
1 64 64 6.148059e-04
2 32 32 2.165255e-04
3 16 16 7.567039e-05
4 8 8 2.568924e-05
1 64 64 6.044525e-04
2 32 32 2.128795e-04
3 16 16 7.439643e-05
4 8 8 2.525680e-05
1 64 64 5.942771e-04
2 32 32 2.092961e-04
3 16 16 7.314433e-05
4 8 8 2.483176e-05
1 64 64 5.842763e-04
2 32 32 2.057742e-04
3 16 16 7.191368e-05
4 8 8 2.441400e-05
1 64 64 5.744468e-04
2 32 32 2.023126e-04
3 16 16 7.070408e-05
4 8 8 2.400336e-05
1 64 64 5.647854e-04
2 32 32 1.989102e-04
3 16 16 6.951515e-05
4 8 8 2.359973e-05
1 64 64 5.552889e-04
2 32 32 1.955659e-04
3 16 16 6.834649e-05
4 8 8 2.320297e-05
1 64 64 5.459544e-04
2 32 32 1.922785e-04
3 16 16 6.719774e-05
4 8 8 2.281297e-05
1 64 64 5.367789e-04
2 32 32 1.890472e-04
3 16 16 6.606854e-05
4 8 8 2.242959e-05
1 64 64 5.277595e-04
2 32 32 1.858708e-04
3 16 16 6.495853e-05
4 8 8 2.205272e-05
1 64 64 5.188934e-04
2 32 32 1.827483e-04
3 16 16 6.386737e-05
4 8 8 2.168225e-05
1 64 64 5.101777e-04
2 32 32 1.796789e-04
3 16 16 6.279471e-05
4 8 8 2.131806e-05
1 64 64 5.016099e-04
2 32 32 1.766615e-04
3 16 16 6.174024e-05
4 8 8 2.096003e-05
1 64 64 4.931872e-04
2 32 32 1.736952e-04
3 16 16 6.070362e-05
4 8 8 2.060807e-05
1 64 64 4.849071e-04
2 32 32 1.707791e-04
3 16 16 5.968454e-05
4 8 8 2.026206e-05
1 64 64 4.767671e-04
2 32 32 1.679124e-04
3 16 16 5.868269e-05
4 8 8 1.992190e-05
1 64 64 4.687648e-04
2 32 32 1.650941e-04
3 16 16 5.769777e-05
4 8 8 1.958748e-05
1 64 64 4.608976e-04
2 32 32 1.623234e-04
3 16 16 5.672949e-05
4 8 8 1.925872e-05
1 64 64 4.531633e-04
2 32 32 1.595995e-04
3 16 16 5.577755e-05
4 8 8 1.893550e-05
1 64 64 4.455595e-04
2 32 32 1.569216e-04
3 16 16 5.484167e-05
4 8 8 1.861773e-05
1 64 64 4.380839e-04
2 32 32 1.542888e-04
3 16 16 5.392157e-05
4 8 8 1.830532e-05
1 64 64 4.307344e-04
2 32 32 1.517004e-04
3 16 16 5.301697e-05
4 8 8 1.799818e-05
1 64 64 4.235087e-04
2 32 32 1.491556e-04
3 16 16 5.212762e-05
4 8 8 1.769621e-05
1 64 64 4.164048e-04
2 32 32 1.466537e-04
3 16 16 5.125324e-05
4 8 8 1.739933e-05
1 64 64 4.094204e-04
2 32 32 1.441939e-04
3 16 16 5.039359e-05
4 8 8 1.710745e-05
1 64 64 4.025537e-04
2 32 32 1.417755e-04
3 16 16 4.954840e-05
4 8 8 1.682048e-05
1 64 64 3.958024e-04
2 32 32 1.393978e-04
3 16 16 4.871743e-05
4 8 8 1.653834e-05
1 64 64 3.891648e-04
2 32 32 1.370601e-04
3 16 16 4.790043e-05
4 8 8 1.626095e-05
1 64 64 3.826387e-04
2 32 32 1.347617e-04
3 16 16 4.709718e-05
4 8 8 1.598822e-05
1 64 64 3.762224e-04
2 32 32 1.325020e-04
3 16 16 4.630743e-05
4 8 8 1.572008e-05
1 64 64 3.699139e-04
2 32 32 1.302802e-04
3 16 16 4.553095e-05
4 8 8 1.545645e-05
1 64 64 3.637115e-04
2 32 32 1.280958e-04
3 16 16 4.476752e-05
4 8 8 1.519724e-05
1 64 64 3.576133e-04
2 32 32 1.259481e-04
3 16 16 4.401691e-05
4 8 8 1.494240e-05
1 64 64 3.516175e-04
2 32 32 1.238364e-04
3 16 16 4.327891e-05
4 8 8 1.469183e-05
1 64 64 3.457224e-04
2 32 32 1.217602e-04
3 16 16 4.255331e-05
4 8 8 1.444548e-05
1 64 64 3.399263e-04
2 32 32 1.197189e-04
3 16 16 4.183989e-05
4 8 8 1.420326e-05
1 64 64 3.342275e-04
2 32 32 1.177118e-04
3 16 16 4.113845e-05
4 8 8 1.396511e-05
1 64 64 3.286244e-04
2 32 32 1.157385e-04
3 16 16 4.044879e-05
4 8 8 1.373096e-05
1 64 64 3.231153e-04
2 32 32 1.137982e-04
3 16 16 3.977070e-05
4 8 8 1.350074e-05
1 64 64 3.176987e-04
2 32 32 1.118906e-04
3 16 16 3.910399e-05
4 8 8 1.327439e-05
1 64 64 3.123730e-04
2 32 32 1.100149e-04
3 16 16 3.844847e-05
4 8 8 1.305183e-05
1 64 64 3.071367e-04
2 32 32 1.081707e-04
3 16 16 3.780395e-05
4 8 8 1.283302e-05
1 64 64 3.019882e-04
2 32 32 1.063575e-04
3 16 16 3.717024e-05
4 8 8 1.261787e-05
1 64 64 2.969261e-04
2 32 32 1.045747e-04
3 16 16 3.654717e-05
4 8 8 1.240634e-05
1 64 64 2.919490e-04
2 32 32 1.028217e-04
3 16 16 3.593455e-05
4 8 8 1.219835e-05
1 64 64 2.870553e-04
2 32 32 1.010982e-04
3 16 16 3.533220e-05
4 8 8 1.199386e-05
1 64 64 2.822437e-04
2 32 32 9.940363e-05
3 16 16 3.473996e-05
4 8 8 1.179279e-05
1 64 64 2.775128e-04
2 32 32 9.773745e-05
3 16 16 3.415765e-05
4 8 8 1.159510e-05
1 64 64 2.728612e-04
2 32 32 9.609922e-05
3 16 16 3.358511e-05
4 8 8 1.140073e-05
1 64 64 2.682877e-04
2 32 32 9.448846e-05
3 16 16 3.302217e-05
4 8 8 1.120961e-05
1 64 64 2.637908e-04
2 32 32 9.290471e-05
3 16 16 3.246867e-05
4 8 8 1.102171e-05
1 64 64 2.593694e-04
2 32 32 9.134752e-05
3 16 16 3.192445e-05
4 8 8 1.083695e-05
1 64 64 2.550221e-04
2 32 32 8.981644e-05
3 16 16 3.138936e-05
4 8 8 1.065529e-05
1 64 64 2.507477e-04
2 32 32 8.831103e-05
3 16 16 3.086324e-05
4 8 8 1.047668e-05
1 64 64 2.465450e-04
2 32 32 8.683087e-05
3 16 16 3.034594e-05
4 8 8 1.030107e-05
1 64 64 2.424127e-04
2 32 32 8.537552e-05
3 16 16 2.983731e-05
4 8 8 1.012840e-05
1 64 64 2.383497e-04
2 32 32 8.394457e-05
3 16 16 2.933722e-05
4 8 8 9.958624e-06
1 64 64 2.343548e-04
2 32 32 8.253761e-05
3 16 16 2.884550e-05
4 8 8 9.791698e-06
1 64 64 2.304269e-04
2 32 32 8.115424e-05
3 16 16 2.836203e-05
4 8 8 9.627570e-06
1 64 64 2.265649e-04
2 32 32 7.979406e-05
3 16 16 2.788667e-05
4 8 8 9.466194e-06
1 64 64 2.227675e-04
2 32 32 7.845668e-05
3 16 16 2.741927e-05
4 8 8 9.307525e-06
1 64 64 2.190339e-04
2 32 32 7.714172e-05
3 16 16 2.695971e-05
4 8 8 9.151516e-06
1 64 64 2.153628e-04
2 32 32 7.584880e-05
3 16 16 2.650786e-05
4 8 8 8.998123e-06
1 64 64 2.117533e-04
2 32 32 7.457756e-05
3 16 16 2.606358e-05
4 8 8 8.847301e-06
1 64 64 2.082043e-04
2 32 32 7.332763e-05
3 16 16 2.562674e-05
4 8 8 8.699009e-06
1 64 64 2.047148e-04
2 32 32 7.209865e-05
3 16 16 2.519723e-05
4 8 8 8.553202e-06
1 64 64 2.012837e-04
2 32 32 7.089027e-05
3 16 16 2.477492e-05
4 8 8 8.409840e-06
1 64 64 1.979102e-04
2 32 32 6.970214e-05
3 16 16 2.435969e-05
4 8 8 8.268882e-06
1 64 64 1.945932e-04
2 32 32 6.853393e-05
3 16 16 2.395142e-05
4 8 8 8.130287e-06
1 64 64 1.913318e-04
2 32 32 6.738530e-05
3 16 16 2.354999e-05
4 8 8 7.994015e-06
1 64 64 1.881251e-04
2 32 32 6.625593e-05
3 16 16 2.315529e-05
4 8 8 7.860028e-06
1 64 64 1.849722e-04
2 32 32 6.514548e-05
3 16 16 2.276721e-05
4 8 8 7.728287e-06
1 64 64 1.818720e-04
2 32 32 6.405365e-05
3 16 16 2.238563e-05
4 8 8 7.598755e-06
1 64 64 1.788239e-04
2 32 32 6.298011e-05
3 16 16 2.201044e-05
4 8 8 7.471394e-06
1 64 64 1.758268e-04
2 32 32 6.192457e-05
3 16 16 2.164155e-05
4 8 8 7.346168e-06
1 64 64 1.728800e-04
2 32 32 6.088672e-05
3 16 16 2.127884e-05
4 8 8 7.223041e-06
1 64 64 1.699825e-04
2 32 32 5.986627e-05
3 16 16 2.092220e-05
4 8 8 7.101978e-06
1 64 64 1.671337e-04
2 32 32 5.886292e-05
3 16 16 2.057155e-05
4 8 8 6.982945e-06
1 64 64 1.643325e-04
2 32 32 5.787639e-05
3 16 16 2.022677e-05
4 8 8 6.865907e-06
1 64 64 1.615783e-04
2 32 32 5.690639e-05
3 16 16 1.988777e-05
4 8 8 6.750831e-06
1 64 64 1.588703e-04
2 32 32 5.595265e-05
3 16 16 1.955446e-05
4 8 8 6.637684e-06
1 64 64 1.562077e-04
2 32 32 5.501490e-05
3 16 16 1.922673e-05
4 8 8 6.526433e-06
1 64 64 1.535897e-04
2 32 32 5.409286e-05
3 16 16 1.890449e-05
4 8 8 6.417048e-06
1 64 64 1.510156e-04
2 32 32 5.318628e-05
3 16 16 1.858765e-05
4 8 8 6.309495e-06
1 64 64 1.484846e-04
2 32 32 5.229489e-05
3 16 16 1.827613e-05
4 8 8 6.203746e-06
1 64 64 1.459960e-04
2 32 32 5.141844e-05
3 16 16 1.796982e-05
4 8 8 6.099769e-06
1 64 64 1.435492e-04
2 32 32 5.055667e-05
3 16 16 1.766865e-05
4 8 8 5.997535e-06
1 64 64 1.411433e-04
2 32 32 4.970936e-05
3 16 16 1.737253e-05
4 8 8 5.897015e-06
1 64 64 1.387778e-04
2 32 32 4.887624e-05
3 16 16 1.708137e-05
4 8 8 5.798179e-06
1 64 64 1.364519e-04
2 32 32 4.805709e-05
3 16 16 1.679509e-05
4 8 8 5.701001e-06
1 64 64 1.341650e-04
2 32 32 4.725166e-05
