# level nx ny res_l2_norm
1 64 64 8.973524e-02
2 32 32 2.379964e-02
3 16 16 6.217317e-03
4 8 8 1.373319e-03
1 64 64 3.785687e-02
2 32 32 1.121940e-02
3 16 16 3.066625e-03
4 8 8 6.640646e-04
1 64 64 2.226604e-02
2 32 32 6.920925e-03
3 16 16 1.935758e-03
4 8 8 4.241538e-04
1 64 64 1.511707e-02
2 32 32 4.829183e-03
3 16 16 1.390372e-03
4 8 8 3.168010e-04
1 64 64 1.096068e-02
2 32 32 3.555700e-03
3 16 16 1.046328e-03
4 8 8 2.449467e-04
1 64 64 8.256731e-03
2 32 32 2.706715e-03
3 16 16 8.105381e-04
4 8 8 1.935005e-04
1 64 64 6.390685e-03
2 32 32 2.111267e-03
3 16 16 6.410607e-04
4 8 8 1.551578e-04
1 64 64 5.055124e-03
2 32 32 1.680118e-03
3 16 16 5.158379e-04
4 8 8 1.260813e-04
1 64 64 4.071109e-03
2 32 32 1.359486e-03
3 16 16 4.210820e-04
4 8 8 1.036492e-04
1 64 64 3.327234e-03
2 32 32 1.115207e-03
3 16 16 3.478057e-04
4 8 8 8.604787e-05
1 64 64 2.751656e-03
2 32 32 9.249498e-04
3 16 16 2.900068e-04
4 8 8 7.200930e-05
1 64 64 2.297029e-03
2 32 32 7.738471e-04
3 16 16 2.436171e-04
4 8 8 6.064536e-05
1 64 64 1.931534e-03
2 32 32 6.518224e-04
3 16 16 2.058323e-04
4 8 8 5.132859e-05
1 64 64 1.633344e-03
2 32 32 5.519074e-04
3 16 16 1.746818e-04
4 8 8 4.360934e-05
1 64 64 1.387143e-03
2 32 32 4.691749e-04
3 16 16 1.487497e-04
4 8 8 3.715936e-05
1 64 64 1.181921e-03
2 32 32 4.000575e-04
3 16 16 1.269952e-04
4 8 8 3.173391e-05
1 64 64 1.009572e-03
2 32 32 3.419099e-04
3 16 16 1.086354e-04
4 8 8 2.714658e-05
1 64 64 8.639837e-04
2 32 32 2.927249e-04
3 16 16 9.306835e-05
4 8 8 2.325239e-05
1 64 64 7.404462e-04
2 32 32 2.509462e-04
3 16 16 7.982177e-05
4 8 8 1.993649e-05
1 64 64 6.352558e-04
2 32 32 2.153444e-04
3 16 16 6.851880e-05
4 8 8 1.710638e-05
1 64 64 5.454499e-04
2 32 32 1.849316e-04
3 16 16 5.885402e-05
4 8 8 1.468656e-05
1 64 64 4.686237e-04
2 32 32 1.589029e-04
3 16 16 5.057678e-05
4 8 8 1.261472e-05
1 64 64 4.028002e-04
2 32 32 1.365945e-04
3 16 16 4.347929e-05
4 8 8 1.083893e-05
1 64 64 3.463383e-04
2 32 32 1.174543e-04
3 16 16 3.738780e-05
4 8 8 9.315651e-06
1 64 64 2.978643e-04
2 32 32 1.010191e-04
3 16 16 3.215611e-05
4 8 8 8.008161e-06
1 64 64 2.562207e-04
2 32 32 8.689795e-05
3 16 16 2.766053e-05
4 8 8 6.885340e-06
1 64 64 2.204278e-04
2 32 32 7.475968e-05
3 16 16 2.379597e-05
4 8 8 5.920738e-06
1 64 64 1.896523e-04
2 32 32 6.432234e-05
3 16 16 2.047291e-05
4 8 8 5.091812e-06
1 64 64 1.631840e-04
2 32 32 5.534541e-05
3 16 16 1.761485e-05
4 8 8 4.379310e-06
1 64 64 1.404156e-04
2 32 32 4.762317e-05
3 16 16 1.515635e-05
4 8 8 3.766767e-06
1 64 64 1.208273e-04
2 32 32 4.097942e-05
3 16 16 1.304131e-05
4 8 8 3.240080e-06
1 64 64 1.039733e-04
2 32 32 3.526303e-05
3 16 16 1.122160e-05
4 8 8 2.787163e-06
1 64 64 8.947097e-05
2 32 32 3.034426e-05
3 16 16 9.655887e-06
4 8 8 2.397646e-06
1 64 64 7.699159e-05
2 32 32 2.611164e-05
3 16 16 8.308671e-06
4 8 8 2.062628e-06
1 64 64 6.625272e-05
2 32 32 2.246938e-05
3 16 16 7.149431e-06
4 8 8 1.774466e-06
1 64 64 5.701147e-05
2 32 32 1.933509e-05
3 16 16 6.151923e-06
4 8 8 1.526593e-06
1 64 64 4.905894e-05
2 32 32 1.663791e-05
3 16 16 5.293576e-06
4 8 8 1.313369e-06
1 64 64 4.221541e-05
2 32 32 1.431689e-05
3 16 16 4.554973e-06
4 8 8 1.129943e-06
1 64 64 3.632626e-05
2 32 32 1.231956e-05
3 16 16 3.919410e-06
4 8 8 9.721463e-07
1 64 64 3.125842e-05
2 32 32 1.060081e-05
3 16 16 3.372513e-06
4 8 8 8.363947e-07
1 64 64 2.689739e-05
2 32 32 9.121777e-06
3 16 16 2.901914e-06
4 8 8 7.196061e-07
1 64 64 2.314463e-05
2 32 32 7.849049e-06
3 16 16 2.496971e-06
4 8 8 6.191298e-07
1 64 64 1.991532e-05
2 32 32 6.753858e-06
3 16 16 2.148526e-06
4 8 8 5.326862e-07
1 64 64 1.713649e-05
2 32 32 5.811446e-06
3 16 16 1.848699e-06
4 8 8 4.583146e-07
1 64 64 1.474531e-05
2 32 32 5.000508e-06
3 16 16 1.590706e-06
4 8 8 3.943284e-07
1 64 64 1.268773e-05
2 32 32 4.302709e-06
3 16 16 1.368712e-06
4 8 8 3.392769e-07
1 64 64 1.091721e-05
2 32 32 3.702267e-06
3 16 16 1.177696e-06
4 8 8 2.919121e-07
1 64 64 9.393734e-06
2 32 32 3.185604e-06
3 16 16 1.013335e-06
4 8 8 2.511605e-07
1 64 64 8.082827e-06
2 32 32 2.741032e-06
3 16 16 8.719097e-07
4 8 8 2.160985e-07
1 64 64 6.954843e-06
2 32 32 2.358496e-06
3 16 16 7.502208e-07
4 8 8 1.859317e-07
1 64 64 5.984262e-06
2 32 32 2.029340e-06
3 16 16 6.455143e-07
4 8 8 1.599764e-07
1 64 64 5.149127e-06
2 32 32 1.746117e-06
3 16 16 5.554203e-07
4 8 8 1.376446e-07
1 64 64 4.430539e-06
2 32 32 1.502418e-06
3 16 16 4.779000e-07
4 8 8 1.184304e-07
1 64 64 3.812240e-06
2 32 32 1.292729e-06
3 16 16 4.111986e-07
4 8 8 1.018986e-07
1 64 64 3.280235e-06
2 32 32 1.112304e-06
3 16 16 3.538064e-07
4 8 8 8.767451e-08
1 64 64 2.822485e-06
2 32 32 9.570587e-07
3 16 16 3.044242e-07
4 8 8 7.543610e-08
1 64 64 2.428628e-06
2 32 32 8.234801e-07
3 16 16 2.619343e-07
4 8 8 6.490610e-08
1 64 64 2.089751e-06
2 32 32 7.085444e-07
3 16 16 2.253747e-07
4 8 8 5.584602e-08
1 64 64 1.798182e-06
2 32 32 6.096501e-07
3 16 16 1.939177e-07
4 8 8 4.805066e-08
1 64 64 1.547320e-06
2 32 32 5.245582e-07
3 16 16 1.668513e-07
4 8 8 4.134346e-08
1 64 64 1.331487e-06
2 32 32 4.513427e-07
3 16 16 1.435627e-07
4 8 8 3.557251e-08
1 64 64 1.145796e-06
2 32 32 3.883460e-07
3 16 16 1.235246e-07
4 8 8 3.060712e-08
1 64 64 9.860431e-07
2 32 32 3.341420e-07
3 16 16 1.062832e-07
4 8 8 2.633484e-08
1 64 64 8.486103e-07
2 32 32 2.875033e-07
3 16 16 9.144840e-08
4 8 8 2.265891e-08
1 64 64 7.303860e-07
2 32 32 2.473743e-07
3 16 16 7.868416e-08
4 8 8 1.949610e-08
1 64 64 6.286929e-07
2 32 32 2.128463e-07
3 16 16 6.770152e-08
4 8 8 1.677476e-08
1 64 64 5.412278e-07
2 32 32 1.831376e-07
3 16 16 5.825180e-08
4 8 8 1.443329e-08
1 64 64 4.660095e-07
2 32 32 1.575755e-07
3 16 16 5.012106e-08
4 8 8 1.241865e-08
1 64 64 4.013340e-07
2 32 32 1.355813e-07
3 16 16 4.312519e-08
4 8 8 1.068522e-08
1 64 64 3.457356e-07
2 32 32 1.166570e-07
3 16 16 3.710580e-08
4 8 8 9.193754e-09
1 64 64 2.979541e-07
2 32 32 1.003741e-07
3 16 16 3.192658e-08
4 8 8 7.910469e-09
1 64 64 2.569060e-07
2 32 32 8.636392e-08
3 16 16 2.747028e-08
4 8 8 6.806310e-09
1 64 64 2.216599e-07
2 32 32 7.430929e-08
3 16 16 2.363598e-08
4 8 8 5.856272e-09
1 64 64 1.914153e-07
2 32 32 6.393723e-08
3 16 16 2.033687e-08
4 8 8 5.038844e-09
1 64 64 1.654843e-07
2 32 32 5.501288e-08
3 16 16 1.749825e-08
4 8 8 4.335514e-09
1 64 64 1.432762e-07
2 32 32 4.733420e-08
3 16 16 1.505584e-08
4 8 8 3.730356e-09
1 64 64 1.242833e-07
2 32 32 4.072729e-08
3 16 16 1.295435e-08
4 8 8 3.209668e-09
1 64 64 1.080696e-07
2 32 32 3.504258e-08
3 16 16 1.114618e-08
4 8 8 2.761658e-09
1 64 64 9.426022e-08
2 32 32 3.015134e-08
3 16 16 9.590394e-09
4 8 8 2.376183e-09
1 64 64 8.253232e-08
2 32 32 2.594281e-08
3 16 16 8.251765e-09
4 8 8 2.044512e-09
1 64 64 7.260733e-08
2 32 32 2.232171e-08
3 16 16 7.099982e-09
4 8 8 1.759137e-09
1 64 64 6.424378e-08
2 32 32 1.920604e-08
3 16 16 6.108965e-09
4 8 8 1.513595e-09
1 64 64 5.723109e-08
2 32 32 1.652526e-08
3 16 16 5.256274e-09
4 8 8 1.302326e-09
1 64 64 5.138421e-08
2 32 32 1.421866e-08
3 16 16 4.522602e-09
4 8 8 1.120546e-09
1 64 64 4.653918e-08
2 32 32 1.223402e-08
3 16 16 3.891336e-09
4 8 8 9.641393e-10
1 64 64 4.254963e-08
2 32 32 1.052639e-08
3 16 16 3.348182e-09
4 8 8 8.295640e-10
1 64 64 3.928438e-08
2 32 32 9.057114e-09
3 16 16 2.880842e-09
4 8 8 7.137728e-10
1 64 64 3.662597e-08
2 32 32 7.792920e-09
3 16 16 2.478733e-09
4 8 8 6.141439e-10
1 64 64 3.446999e-08
2 32 32 6.705182e-09
3 16 16 2.132751e-09
4 8 8 5.284212e-10
1 64 64 3.272481e-08
2 32 32 5.769270e-09
3 16 16 1.835061e-09
4 8 8 4.546638e-10
1 64 64 3.131129e-08
2 32 32 4.963994e-09
3 16 16 1.578923e-09
4 8 8 3.912015e-10
1 64 64 3.016244e-08
2 32 32 4.271118e-09
3 16 16 1.358536e-09
4 8 8 3.365974e-10
1 64 64 2.922257e-08
2 32 32 3.674954e-09
3 16 16 1.168911e-09
4 8 8 2.896149e-10
1 64 64 2.844627e-08
2 32 32 3.162003e-09
3 16 16 1.005754e-09
4 8 8 2.491903e-10
1 64 64 2.779708e-08
2 32 32 2.720650e-09
3 16 16 8.653706e-10
4 8 8 2.144082e-10
1 64 64 2.724615e-08
2 32 32 2.340900e-09
3 16 16 7.445819e-10
4 8 8 1.844810e-10
1 64 64 2.677093e-08
2 32 32 2.014157e-09
3 16 16 6.406529e-10
4 8 8 1.587310e-10
1 64 64 2.635394e-08
2 32 32 1.733020e-09
