# level nx ny res_l2
1 64 64 5.322773e+04
2 32 32 1.320379e+04
3 16 16 3.360870e+03
4 8 8 7.456931e+02
1 64 64 2.680315e+04
2 32 32 8.066458e+03
3 16 16 2.264984e+03
4 8 8 5.202391e+02
1 64 64 1.898482e+04
2 32 32 6.061981e+03
3 16 16 1.747103e+03
4 8 8 3.986796e+02
1 64 64 1.482946e+04
2 32 32 4.814942e+03
3 16 16 1.406756e+03
4 8 8 3.200019e+02
1 64 64 1.176950e+04
2 32 32 3.851390e+03
3 16 16 1.138709e+03
4 8 8 2.605870e+02
1 64 64 9.338279e+03
2 32 32 3.074124e+03
3 16 16 9.197767e+02
4 8 8 2.130826e+02
1 64 64 7.396872e+03
2 32 32 2.448209e+03
3 16 16 7.411525e+02
4 8 8 1.743683e+02
1 64 64 5.858989e+03
2 32 32 1.948902e+03
3 16 16 5.966327e+02
4 8 8 1.426867e+02
1 64 64 4.650586e+03
2 32 32 1.553961e+03
3 16 16 4.806327e+02
4 8 8 1.167840e+02
1 64 64 3.706310e+03
2 32 32 1.243361e+03
3 16 16 3.880518e+02
4 8 8 9.564913e+01
1 64 64 2.970244e+03
2 32 32 9.997532e+02
3 16 16 3.143868e+02
4 8 8 7.843299e+01
1 64 64 2.396114e+03
2 32 32 8.086352e+02
3 16 16 2.558010e+02
4 8 8 6.441983e+01
1 64 64 1.946689e+03
2 32 32 6.582372e+02
3 16 16 2.091217e+02
4 8 8 5.301163e+01
1 64 64 1.592716e+03
2 32 32 5.392360e+02
3 16 16 1.717879e+02
4 8 8 4.371451e+01
1 64 64 1.311656e+03
2 32 32 4.443921e+02
3 16 16 1.417721e+02
4 8 8 3.612481e+01
1 64 64 1.086420e+03
2 32 32 3.681708e+02
3 16 16 1.174921e+02
4 8 8 2.991544e+01
1 64 64 9.041943e+02
2 32 32 3.063864e+02
3 16 16 9.772520e+01
4 8 8 2.482285e+01
1 64 64 7.554263e+02
2 32 32 2.558910e+02
3 16 16 8.153164e+01
4 8 8 2.063544e+01
1 64 64 6.329931e+02
2 32 32 2.143172e+02
3 16 16 6.818925e+01
4 8 8 1.718353e+01
1 64 64 5.315527e+02
2 32 32 1.798751e+02
3 16 16 5.714110e+01
4 8 8 1.433101e+01
1 64 64 4.470539e+02
2 32 32 1.511979e+02
3 16 16 4.795457e+01
4 8 8 1.196844e+01
1 64 64 3.763804e+02
2 32 32 1.272282e+02
3 16 16 4.029042e+01
4 8 8 1.000762e+01
1 64 64 3.170947e+02
2 32 32 1.071357e+02
3 16 16 3.387968e+01
4 8 8 8.377217e+00
1 64 64 2.672595e+02
2 32 32 9.025880e+01
3 16 16 2.850675e+01
4 8 8 7.019293e+00
1 64 64 2.253112e+02
2 32 32 7.606314e+01
3 16 16 2.399704e+01
4 8 8 5.886640e+00
1 64 64 1.899717e+02
2 32 32 6.411180e+01
3 16 16 2.020780e+01
4 8 8 4.940643e+00
1 64 64 1.601855e+02
2 32 32 5.404426e+01
3 16 16 1.702151e+01
4 8 8 4.149615e+00
1 64 64 1.350742e+02
2 32 32 4.556079e+01
3 16 16 1.434074e+01
4 8 8 3.487476e+00
1 64 64 1.139025e+02
2 32 32 3.841092e+01
3 16 16 1.208439e+01
4 8 8 2.932698e+00
1 64 64 9.605270e+01
2 32 32 3.238454e+01
3 16 16 1.018471e+01
4 8 8 2.467477e+00
1 64 64 8.100481e+01
2 32 32 2.730497e+01
3 16 16 8.584960e+00
4 8 8 2.077053e+00
1 64 64 6.832026e+01
2 32 32 2.302343e+01
3 16 16 7.237531e+00
4 8 8 1.749168e+00
1 64 64 5.762906e+01
2 32 32 1.941454e+01
3 16 16 6.102441e+00
4 8 8 1.473627e+00
1 64 64 4.861896e+01
2 32 32 1.637260e+01
3 16 16 5.146081e+00
4 8 8 1.241937e+00
1 64 64 4.102653e+01
2 32 32 1.380845e+01
3 16 16 4.340190e+00
4 8 8 1.047014e+00
1 64 64 3.462952e+01
2 32 32 1.164697e+01
3 16 16 3.660995e+00
4 8 8 8.829443e-01
1 64 64 2.924057e+01
2 32 32 9.824797e+00
3 16 16 3.088492e+00
4 8 8 7.447816e-01
1 64 64 2.470175e+01
2 32 32 8.288558e+00
3 16 16 2.605850e+00
4 8 8 6.283883e-01
1 64 64 2.087999e+01
2 32 32 6.993265e+00
3 16 16 2.198903e+00
4 8 8 5.302984e-01
1 64 64 1.766326e+01
2 32 32 5.901018e+00
3 16 16 1.855731e+00
4 8 8 4.476061e-01
1 64 64 1.495723e+01
2 32 32 4.979887e+00
3 16 16 1.566295e+00
4 8 8 3.778736e-01
1 64 64 1.268253e+01
2 32 32 4.202976e+00
3 16 16 1.322147e+00
4 8 8 3.190540e-01
1 64 64 1.077238e+01
2 32 32 3.547630e+00
3 16 16 1.116172e+00
4 8 8 2.694275e-01
1 64 64 9.170626e+00
2 32 32 2.994760e+00
3 16 16 9.423789e-01
4 8 8 2.275482e-01
1 64 64 7.830020e+00
2 32 32 2.528290e+00
3 16 16 7.957203e-01
4 8 8 1.921999e-01
1 64 64 6.710791e+00
2 32 32 2.134670e+00
3 16 16 6.719448e-01
4 8 8 1.623589e-01
1 64 64 5.779408e+00
2 32 32 1.802488e+00
3 16 16 5.674698e-01
4 8 8 1.371633e-01
1 64 64 5.007514e+00
2 32 32 1.522123e+00
3 16 16 4.792762e-01
4 8 8 1.158870e-01
1 64 64 4.371010e+00
2 32 32 1.285468e+00
3 16 16 4.048189e-01
4 8 8 9.791810e-02
1 64 64 3.849264e+00
2 32 32 1.085688e+00
3 16 16 3.419524e-01
4 8 8 8.274079e-02
1 64 64 3.424445e+00
2 32 32 9.170219e-01
3 16 16 2.888676e-01
4 8 8 6.992011e-02
1 64 64 3.081003e+00
2 32 32 7.746104e-01
3 16 16 2.440385e-01
4 8 8 5.908917e-02
1 64 64 2.805278e+00
2 32 32 6.543566e-01
3 16 16 2.061782e-01
4 8 8 4.993842e-02
1 64 64 2.585258e+00
2 32 32 5.528046e-01
3 16 16 1.742009e-01
4 8 8 4.220666e-02
1 64 64 2.410439e+00
2 32 32 4.670393e-01
3 16 16 1.471906e-01
4 8 8 3.567342e-02
1 64 64 2.271768e+00
2 32 32 3.946013e-01
3 16 16 1.243742e-01
4 8 8 3.015257e-02
1 64 64 2.161583e+00
2 32 32 3.334153e-01
3 16 16 1.050993e-01
4 8 8 2.548699e-02
1 64 64 2.073548e+00
2 32 32 2.817302e-01
3 16 16 8.881529e-02
4 8 8 2.154398e-02
1 64 64 2.002536e+00
2 32 32 2.380678e-01
3 16 16 7.505723e-02
4 8 8 1.821148e-02
1 64 64 1.944491e+00
2 32 32 2.011807e-01
3 16 16 6.343270e-02
4 8 8 1.539485e-02
1 64 64 1.896257e+00
2 32 32 1.700157e-01
3 16 16 5.361036e-02
4 8 8 1.301414e-02
1 64 64 1.855421e+00
2 32 32 1.436839e-01
3 16 16 4.531042e-02
4 8 8 1.100182e-02
1 64 64 1.820157e+00
2 32 32 1.214346e-01
3 16 16 3.829662e-02
4 8 8 9.300820e-03
1 64 64 1.789098e+00
2 32 32 1.026339e-01
3 16 16 3.236940e-02
4 8 8 7.862941e-03
1 64 64 1.761226e+00
2 32 32 8.674654e-02
3 16 16 2.736024e-02
4 8 8 6.647448e-03
1 64 64 1.735787e+00
2 32 32 7.332055e-02
3 16 16 2.312679e-02
4 8 8 5.619920e-03
1 64 64 1.712225e+00
2 32 32 6.197414e-02
3 16 16 1.954880e-02
4 8 8 4.751272e-03
1 64 64 1.690128e+00
2 32 32 5.238484e-02
3 16 16 1.652469e-02
4 8 8 4.016922e-03
1 64 64 1.669194e+00
2 32 32 4.428026e-02
3 16 16 1.396864e-02
4 8 8 3.396096e-03
1 64 64 1.649199e+00
2 32 32 3.743028e-02
3 16 16 1.180815e-02
4 8 8 2.871235e-03
1 64 64 1.629975e+00
2 32 32 3.164053e-02
3 16 16 9.981949e-03
4 8 8 2.427500e-03
1 64 64 1.611399e+00
2 32 32 2.674676e-02
3 16 16 8.438286e-03
4 8 8 2.052346e-03
1 64 64 1.593377e+00
2 32 32 2.261021e-02
3 16 16 7.133417e-03
4 8 8 1.735171e-03
1 64 64 1.575839e+00
2 32 32 1.911363e-02
3 16 16 6.030382e-03
4 8 8 1.467013e-03
1 64 64 1.558729e+00
2 32 32 1.615795e-02
3 16 16 5.097944e-03
4 8 8 1.240293e-03
1 64 64 1.542007e+00
2 32 32 1.365944e-02
3 16 16 4.309707e-03
4 8 8 1.048609e-03
1 64 64 1.525639e+00
2 32 32 1.154736e-02
3 16 16 3.643360e-03
4 8 8 8.865447e-04
1 64 64 1.509597e+00
2 32 32 9.761903e-03
3 16 16 3.080049e-03
4 8 8 7.495234e-04
1 64 64 1.493862e+00
2 32 32 8.252545e-03
3 16 16 2.603836e-03
4 8 8 6.336753e-04
1 64 64 1.478414e+00
2 32 32 6.976574e-03
3 16 16 2.201250e-03
4 8 8 5.357286e-04
1 64 64 1.463238e+00
2 32 32 5.897892e-03
3 16 16 1.860906e-03
4 8 8 4.529174e-04
1 64 64 1.448322e+00
2 32 32 4.985987e-03
3 16 16 1.573180e-03
4 8 8 3.829031e-04
1 64 64 1.433653e+00
2 32 32 4.215068e-03
3 16 16 1.329935e-03
4 8 8 3.237084e-04
1 64 64 1.419222e+00
2 32 32 3.563336e-03
3 16 16 1.124295e-03
4 8 8 2.736616e-04
1 64 64 1.405019e+00
2 32 32 3.012362e-03
3 16 16 9.504456e-04
4 8 8 2.313494e-04
1 64 64 1.391036e+00
2 32 32 2.546568e-03
3 16 16 8.034726e-04
4 8 8 1.955767e-04
1 64 64 1.377266e+00
2 32 32 2.152787e-03
3 16 16 6.792213e-04
4 8 8 1.653330e-04
1 64 64 1.363700e+00
2 32 32 1.819885e-03
3 16 16 5.741792e-04
4 8 8 1.397642e-04
1 64 64 1.350333e+00
2 32 32 1.538452e-03
3 16 16 4.853771e-04
4 8 8 1.181477e-04
1 64 64 1.337158e+00
2 32 32 1.300532e-03
3 16 16 4.103045e-04
4 8 8 9.987300e-05
1 64 64 1.324169e+00
2 32 32 1.099399e-03
3 16 16 3.468393e-04
4 8 8 8.442358e-05
1 64 64 1.311360e+00
2 32 32 9.293673e-04
3 16 16 2.931872e-04
4 8 8 7.136284e-05
1 64 64 1.298728e+00
2 32 32 7.856289e-04
3 16 16 2.478312e-04
4 8 8 6.032163e-05
1 64 64 1.286266e+00
2 32 32 6.641201e-04
3 16 16 2.094890e-04
4 8 8 5.098782e-05
1 64 64 1.273969e+00
2 32 32 5.614051e-04
3 16 16 1.770763e-04
4 8 8 4.309750e-05
1 64 64 1.261834e+00
2 32 32 4.745793e-04
3 16 16 1.496764e-04
