# level nx ny res_l2_norm
1 64 64 1.672993e-01
2 32 32 4.656653e-02
3 16 16 1.192307e-02
4 8 8 2.531028e-03
1 64 64 7.898906e-02
2 32 32 2.436914e-02
3 16 16 6.948155e-03
4 8 8 1.688276e-03
1 64 64 5.240132e-02
2 32 32 1.692015e-02
3 16 16 5.030608e-03
4 8 8 1.316419e-03
1 64 64 3.942736e-02
2 32 32 1.303229e-02
3 16 16 3.991100e-03
4 8 8 1.087727e-03
1 64 64 3.168634e-02
2 32 32 1.062141e-02
3 16 16 3.326264e-03
4 8 8 9.293835e-04
1 64 64 2.652181e-02
2 32 32 8.973302e-03
3 16 16 2.857868e-03
4 8 8 8.125918e-04
1 64 64 2.282139e-02
2 32 32 7.772211e-03
3 16 16 2.507270e-03
4 8 8 7.227639e-04
1 64 64 2.003341e-02
2 32 32 6.855888e-03
3 16 16 2.233773e-03
4 8 8 6.514607e-04
1 64 64 1.785261e-02
2 32 32 6.132258e-03
3 16 16 2.013838e-03
4 8 8 5.934012e-04
1 64 64 1.609656e-02
2 32 32 5.545219e-03
3 16 16 1.832764e-03
4 8 8 5.451102e-04
1 64 64 1.464968e-02
2 32 32 5.058668e-03
3 16 16 1.680854e-03
4 8 8 5.042182e-04
1 64 64 1.343525e-02
2 32 32 4.648324e-03
3 16 16 1.551434e-03
4 8 8 4.690636e-04
1 64 64 1.240031e-02
2 32 32 4.297245e-03
3 16 16 1.439755e-03
4 8 8 4.384527e-04
1 64 64 1.150710e-02
2 32 32 3.993236e-03
3 16 16 1.342339e-03
4 8 8 4.115090e-04
1 64 64 1.072790e-02
2 32 32 3.727286e-03
3 16 16 1.256575e-03
4 8 8 3.875753e-04
1 64 64 1.004190e-02
2 32 32 3.492579e-03
3 16 16 1.180463e-03
4 8 8 3.661492e-04
1 64 64 9.433146e-03
2 32 32 3.283860e-03
3 16 16 1.112445e-03
4 8 8 3.468399e-04
1 64 64 8.889174e-03
2 32 32 3.097007e-03
3 16 16 1.051286e-03
4 8 8 3.293379e-04
1 64 64 8.400107e-03
2 32 32 2.928737e-03
3 16 16 9.959927e-04
4 8 8 3.133948e-04
1 64 64 7.958004e-03
2 32 32 2.776404e-03
3 16 16 9.457603e-04
4 8 8 2.988081e-04
1 64 64 7.556412e-03
2 32 32 2.637849e-03
3 16 16 8.999264e-04
4 8 8 2.854109e-04
1 64 64 7.190026e-03
2 32 32 2.511293e-03
3 16 16 8.579419e-04
4 8 8 2.730639e-04
1 64 64 6.854447e-03
2 32 32 2.395256e-03
3 16 16 8.193473e-04
4 8 8 2.616498e-04
1 64 64 6.545991e-03
2 32 32 2.288497e-03
3 16 16 7.837554e-04
4 8 8 2.510689e-04
1 64 64 6.261556e-03
2 32 32 2.189967e-03
3 16 16 7.508370e-04
4 8 8 2.412358e-04
1 64 64 5.998503e-03
2 32 32 2.098774e-03
3 16 16 7.203103e-04
4 8 8 2.320768e-04
1 64 64 5.754575e-03
2 32 32 2.014151e-03
3 16 16 6.919330e-04
4 8 8 2.235276e-04
1 64 64 5.527830e-03
2 32 32 1.935438e-03
3 16 16 6.654947e-04
4 8 8 2.155321e-04
1 64 64 5.316586e-03
2 32 32 1.862063e-03
3 16 16 6.408125e-04
4 8 8 2.080409e-04
