# step err_l2 res_l2
0 2.463645e-01 1.000000e+00
1 2.355276e-01 2.497550e-01
2 2.289194e-01 1.576886e-01
3 2.240487e-01 1.146713e-01
4 2.200772e-01 9.069017e-02
5 2.166685e-01 7.548934e-02
6 2.136505e-01 6.500371e-02
7 2.109227e-01 5.734498e-02
8 2.084207e-01 5.161985e-02
9 2.061007e-01 4.792097e-02
10 2.039325e-01 4.951996e-02
11 2.018985e-01 7.022703e-02
12 2.000126e-01 1.408977e-01
13 1.984382e-01 3.211682e-01
14 1.981445e-01 7.506825e-01
15 2.043998e-01 1.761901e+00
16 2.422199e-01 4.138060e+00
17 3.933438e-01 9.719836e+00
18 8.290894e-01 2.283119e+01
19 1.904992e+00 5.362894e+01
20 4.456654e+00 1.259709e+02
21 1.046080e+01 2.958973e+02
22 2.456856e+01 6.950435e+02
23 5.770859e+01 1.632612e+03
24 1.355531e+02 3.834898e+03
25 3.184052e+02 9.007924e+03
26 7.479130e+02 2.115902e+04
27 1.756799e+03 4.970117e+04
28 4.126605e+03 1.167448e+05
29 9.693125e+03 2.742259e+05
30 2.276852e+04 6.441386e+05
31 5.348175e+04 1.513039e+06
32 1.256251e+05 3.554031e+06
33 2.950852e+05 8.348185e+06
34 6.931359e+05 1.960934e+07
35 1.628131e+06 4.606106e+07
36 3.824373e+06 1.081944e+08
37 8.983201e+06 2.541416e+08
38 2.110095e+07 5.969620e+08
39 4.956476e+07 1.402225e+09
40 1.164244e+08 3.293734e+09
41 2.734732e+08 7.736765e+09
42 6.423707e+08 1.817316e+10
43 1.508887e+09 4.268755e+10
44 3.544276e+09 1.002703e+11
45 8.325273e+09 2.355283e+11
46 1.955552e+10 5.532405e+11
47 4.593464e+10 1.299526e+12
48 1.078975e+11 3.052501e+12
49 2.534441e+11 7.170126e+12
50 5.953236e+11 1.684216e+13
51 1.398376e+12 3.956112e+13
52 3.284694e+12 9.292649e+13
53 7.715531e+12 2.182782e+14
54 1.812328e+13 5.127213e+14
55 4.257039e+13 1.204349e+15
56 9.999507e+13 2.828936e+15
57 2.348819e+14 6.644986e+15
58 5.517221e+14 1.560864e+16
59 1.295959e+15 3.666367e+16
60 3.044123e+15 8.612056e+16
61 7.150447e+15 2.022916e+17
62 1.679593e+16 4.751696e+17
63 3.945254e+16 1.116142e+18
64 9.267144e+16 2.621745e+18
65 2.176792e+17 6.158308e+18
66 5.113141e+17 1.446546e+19
67 1.201043e+18 3.397843e+19
68 2.821172e+18 7.981310e+19
69 6.626749e+18 1.874758e+20
70 1.556580e+19 4.403683e+20
71 3.656304e+19 1.034396e+21
72 8.588420e+19 2.429729e+21
73 2.017364e+20 5.707275e+21
74 4.738655e+20 1.340601e+22
75 1.113079e+21 3.148985e+22
76 2.614550e+21 7.396760e+22
77 6.141407e+21 1.737451e+23
78 1.442576e+22 4.081158e+23
79 3.388517e+22 9.586372e+23
80 7.959405e+22 2.251776e+24
81 1.869612e+23 5.289275e+24
82 4.391597e+23 1.242416e+25
83 1.031557e+24 2.918354e+25
84 2.423061e+24 6.855022e+25
85 5.691611e+24 1.610200e+26
86 1.336922e+25 3.782254e+26
87 3.140343e+25 8.884268e+26
88 7.376459e+25 2.086856e+27
89 1.732682e+26 4.901889e+27
90 4.069957e+26 1.151422e+28
91 9.560062e+26 2.704614e+28
92 2.245596e+27 6.352961e+28
93 5.274758e+27 1.492269e+29
94 1.239006e+28 3.505242e+29
95 2.910344e+28 8.233585e+29
96 6.836208e+28 1.934015e+30
97 1.605781e+29 4.542875e+30
98 3.771873e+29 1.067092e+31
99 8.859884e+29 2.506528e+31
100 2.081129e+30 5.887671e+31
101 4.888435e+30 1.382975e+32
102 1.148261e+31 3.248519e+32
103 2.697191e+31 7.630558e+32
104 6.335525e+31 1.792368e+33
105 1.488173e+32 4.210156e+33
106 3.495622e+32 9.889380e+33
107 8.210987e+32 2.322951e+34
108 1.928707e+33 5.456459e+34
109 4.530407e+33 1.281687e+35
110 1.064163e+34 3.010598e+35
111 2.499649e+34 7.071697e+35
112 5.871512e+34 1.661095e+36
113 1.379180e+35 3.901804e+36
114 3.239603e+35 9.165083e+36
115 7.609616e+35 2.152818e+37
116 1.787449e+36 5.056829e+37
117 4.198600e+36 1.187816e+38
118 9.862238e+36 2.790102e+38
119 2.316575e+37 6.553767e+38
120 5.441483e+37 1.539437e+39
121 1.278169e+38 3.616037e+39
122 3.002335e+38 8.493834e+39
123 7.052288e+38 1.995146e+40
124 1.656536e+39 4.686467e+40
125 3.891096e+39 1.100820e+41
126 9.139929e+39 2.585755e+41
127 2.146909e+40 6.073770e+41
128 5.042950e+40 1.426689e+42
129 1.184556e+41 3.351199e+42
130 2.782444e+41 7.871746e+42
131 6.535780e+41 1.849022e+43
132 1.535212e+42 4.343231e+43
133 3.606112e+42 1.020197e+44
134 8.470522e+42 2.396375e+44
135 1.989670e+43 5.628928e+44
136 4.673605e+43 1.322198e+45
137 1.097799e+44 3.105757e+45
138 2.578658e+44 7.295221e+45
139 6.057100e+44 1.713600e+46
140 1.422773e+45 4.025133e+46
